Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,3,Length of hospital stay (days),,SUBGROUP_AND_OVERALL,Allen 2010,2010,0.0,0.0,9.85,11.72,0,20,8.86,3.82,0,21,0.0,0.0,18.543162,0.99,-4.400007,6.380007,,Some concerns,<p>Patients were randomized in a 1:1 ratio using a computer-generated scheme. <br/>No information available regarding the concealment of allocation sequence. </p>,Low risk,<p>Not blinding of the patients or caregivers. It is possible for both sides to know whether the patient was allocated to the continuous infusion group or bolus group due to obvious differences in its administration.<br/>No deviation was noted.</p><p><br/>Intention-to-treat analysis. </p>,Low risk,<p>No missing outcome data. </p>,Low risk,"<p>Assessors were not blinded to the allocation of patients.</p><p>However, the length of hospital stay doesn't involve subjective judgment, therefore, unlikely to be influenced by the awareness of the allocation by the assessors.</p>",Some concerns,<p>Lack of information in a pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis.x`</p>,Some concerns,<p>Some concerns from the randomization process and in the selection of the reported result. </p>
1,3,Length of hospital stay (days),,SUBGROUP_AND_OVERALL,Shah 2014,2014,0.0,0.0,6.77,3.21,0,30,5.03,3.33,0,30,0.0,0.0,28.480446,1.74,0.084904,3.395096,,Some concerns,<p>No description in randomization and allocation concealment.<br/>No significant difference noted at baseline.</p>,Low risk,<p>Not blinding of the patients or caregivers. It is possible for both sides to know whether the patient was allocated to the continuous infusion group or bolus group due to obvious differences in its administration.<br/>No deviation was noted.</p><p>Intention-to-treat analysis. </p>,Low risk,<p>No missing outcome data.</p>,Low risk,"<p>Assessors were not blinded to the allocation of patients.</p><p>However, the length of hospital stay doesn't involve subjective judgment, therefore, unlikely to be influenced by the awareness of the allocation by the assessors.</p>",Some concerns,<p>Lack of information in a pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis.</p>,Some concerns,<p>Some concerns in the randomization process and in the selection of the reported result. </p>
1,3,Length of hospital stay (days),,SUBGROUP_AND_OVERALL,Yayla 2015,2015,0.0,0.0,6.6,3.4,0,15,7.9,4.1,0,14,0.0,0.0,25.927986,-1.3,-4.051905,1.451905,,Low risk,<p>Patients were randomized to the therapeutic regimens by an initial computer algorithm blinded to the treating physicians. <br/>No significant difference at baseline characteristics except the difference in the percentage of beta blocker usage between the treatment groups. </p>,Low risk,"<p>Blinding to the treating physicians applied, however, patients should be able to tell whether they received bolus injections or continuous infusions of Furosemide.</p>",Low risk,<p>No missing outcome data. </p>,Low risk,"<p>Assessors were not blinded to the allocation of patients. However, this outcome doesn't involve subjective judgment by assessors.</p>",Some concerns,<p>Lack of information in a pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis.</p>,Some concerns,<p>Some concerns in the selection of the reported result. </p>
1,3,Length of hospital stay (days),,SUBGROUP_AND_OVERALL,Zheng 2021,2021,0.0,0.0,10.36,4.2,0,42,15.68,6.15,0,39,0.0,0.0,27.048406,-5.32,-7.630604,-3.009396,,Some concerns,<p>Randomization was performed using the sequentially numbered cases by computer-generated scheme. No description of the allocation concealment. </p>,Some concerns,"<p>No blinding applied. Patients, carers and treating professionals could be aware of the allocation for the patients.</p><p>Eight patients dropped out in the bolus injection group, 5 dropped out in the continuous infusion group. Out of the patients who dropped out, 5 required Furosemide dose adjustment (3 in bolus injection group, 2 in continuous infusion group), and remaining 8 required renal replacement (5 in bolus injection gorup, 3 in continuous infusion group). The drop-out was significant in number, however, no ITT was used in analysis. </p>",High risk,"<p>Five patients dropped out from continuous infusion group (n=47), 8 patients dropped out from the bolus injection group (n=47). <br/>The drop-out was either due to requirement of renal placement therapy or Furosemide dose adjustment, both could be direct consequences of inadquate diuresis, overdiuresis or adverse events related to Furosemide treatment. <br/>There is higher drop-out rate in the patients who received bolus injection of Furosemide as compared to those received continuous infusion of Furosemide. No ITT. </p>",Low risk,"<p>The outcome assessors were not blinded to the treatment allocation of the patients.<br/>The assessment of this outcome doesn't involve subjective judgment, therefore, unlikely to be influenced by the awareness of patients' allocations.</p>",Some concerns,<p>Lack of information in a pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis.</p>,High risk,<p>High risk of bias in missing outcome data.</p>
1,4,Readmission to hospital following discharge for the longest available follow-up stated in the trials ,,SUBGROUP_AND_OVERALL,Felker 2011,2011,0.0,0.0,0.0,0.0,42,152,0.0,0.0,50,156,0.0,0.0,79.425763,0.862105,0.611119,1.216172,60 days.,Low risk,"<p>The study treatment, with group assignments concealment, was continued for up to 72 hours. After 72 hours, all treatment was open-label at the discretion of the treating physician, who did not have knowledge of the prior study-treatment assignment. </p>",Low risk,"<p>A double-blind, double-dummy design was used so that all patients received both intravenous boluses every 12 hours and a continous infusion, one of which contained Furosemide and the other a saline placebo.</p><p>ITT.</p>",Low risk,"<p>No lost in follow-up, and no exclusion from analysis in this outcome.</p>",Low risk,"<p>Double-blind, double-dummy design.</p>",Low risk,<p>The analysis plan that was published ahead of the trial is in keeping with the published version.</p>,Low risk,<p>Low risk of bias in all sections.</p>
1,4,Readmission to hospital following discharge for the longest available follow-up stated in the trials ,,SUBGROUP_AND_OVERALL,Sager 2020,2020,0.0,0.0,0.0,0.0,4,15,0.0,0.0,6,17,0.0,0.0,8.407024,0.755556,0.262393,2.175611,30 days.,High risk,<p>From communication with the author: patients were randomly allocated to either treatment groups on admission. No concealment of the allocation sequence. </p>,Some concerns,<p>No blinding to patients or carers.</p><p>Not ITT.</p>,Low risk,<p>No missing outcome data. </p>,Low risk,"<p>No blinding was applied. However, the assessment of this outcome doesn't involve subjective judgment, therefore, unlikely to be influenced by the potential awareness of the patient's allocation. </p>",Some concerns,<p>Lack of information in a pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis.</p>,High risk,<p>High risk of bias in the randomization process. </p>
1,4,Readmission to hospital following discharge for the longest available follow-up stated in the trials ,,SUBGROUP_AND_OVERALL,Shah 2014,2014,0.0,0.0,0.0,0.0,7,30,0.0,0.0,8,30,0.0,0.0,12.167213,0.875,0.363252,2.107697,30 days.,Some concerns,<p>No description in randomization and allocation concealment.<br/>No significant difference noted at baseline.</p>,Some concerns,<p>Not blinding of the patients or caregivers. It is possible for both sides to know whether the patient was allocated to the continuous infusion group or bolus group due to obvious differences in its administration.<br/>No deviation noted.</p><p>Intention-to-treat analysis. </p>,Low risk,<p>No missing outcome data. </p>,Low risk,"<p>Assessors were not blinded to the allocation of patients. However, the assessment of readmission does not require a subjective judgment of the assessors.</p>",Some concerns,<p>Lack of information of a pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis.</p>,Some concerns,"<p>Some concerns in the randomization process, deviations from intended interventions, in the selection of the reported result. </p>"
1,5,Acute kidney injury (adverse event),,SUBGROUP_AND_OVERALL,Felker 2011,2011,0.0,0.0,0.0,0.0,28,146,0.0,0.0,27,155,0.0,0.0,63.865419,1.100964,0.682699,1.775485,,Low risk,"<p>The study treatment, with group assignments concealment, was continued for up to 72 hours. After 72 hours, all treatment was open-label at the discretion of the treating physician, who did not have knowledge of the prior study-treatment assignment. </p>",Low risk,"<p>Double-blind, double-dummy design. </p><p>ITT.</p>",Low risk,<p>No missing outcome data. </p>,Low risk,<p>Appropriate measurement of outcomes.</p>,Low risk,<p>Pre-specified analysis plan is consistent with the published results. </p>,Low risk,<p>Low risk of bias in all sections. </p>
1,5,Acute kidney injury (adverse event),,SUBGROUP_AND_OVERALL,Llorens 2014,2014,0.0,0.0,0.0,0.0,6,36,0.0,0.0,11,73,0.0,0.0,17.569809,1.106061,0.444719,2.750886,,Low risk,"<p>Centrally generated randomization: randomization performed on a 1:1:1 scheme and following a random list using blocks of size 10. Consecutively numbered closed envelopes containing group allocation were generated and sent to the main investigator of each centre. Every centre included the first 10 patients fulfilling inclusion and exclusion criteria who attended during the shift of the main investigator, who was required to be present at the time of patient inclusion. If any centre finished before the study was over, up to an additional 10 more patients were allowed to be recruited, with a new random list being sent in order to facilitate achievement of the planned sample size. </p>",Low risk,"<p>No blinding to patients, carers, or medical professionals delivering the treatment.</p><p>ITT.</p>",Low risk,<p>No missing outcome data. </p>,Low risk,<p>Blinding to the statistician. Outcome assessment doesn't involve subjective judgment. </p>,Low risk,<p>No bias detected</p>,Low risk,"<p>Centrally generated randomization: randomization perfomred on a 1:1:1 scheme and following a random list using blocks of size 10. Consecutively numbered closed envelopes containing group allocation were generated and sent to the main investigator of each centre. Every centre included the first 10 patients fulfilling inclusion and exclusion criteria who attended during the shift of the main investigator, who was required to be present at the time of patient inclusion. If any centre finished before the study was over, up to an additional 10 more patients were allowed to be recruited, with a new random list being sent in order to facilitate achievement of the planned sample size.</p><p>No blinding to patients, carers, or medical professionals delivering the treatment.</p><p>Blinding to the statistician applied. </p><p>ITT. </p>"
1,5,Acute kidney injury (adverse event),,SUBGROUP_AND_OVERALL,Zheng 2021,2021,0.0,0.0,0.0,0.0,7,42,0.0,0.0,9,39,0.0,0.0,18.564771,0.722222,0.297664,1.752327,,Some concerns,<p>Randomization was performed using the sequentially numbered cases by computer-generated scheme. No description of the allocation concealment. </p>,Some concerns,"<p>No blinding applied. Patients, carers and treating professionals could be aware of the allocation for the patients.</p><p> </p><p>8 patients dropped out in the bolus injection group, 5 dropped out in the continuous infusion group. Out of the patients who dropped out, 5 required Furosemide adjustment (3 in bolus injection group, 2 in continuous infusion group). The drop-out was significant in number, however, no ITT was used in analysis. </p>",High risk,"<p>Dropped out of 5 patients in continuous infusion group (n=47), while 8 patients dropped out in the bolus injection group (n=47). <br/>With drop-out of 13 patients in total, no ITT method was used, and the patients who dropped out were either due to requirement of renal placement therapy or Furosemide dose adjustment, both could be direct consequences of inadquate diuresis, overdiuresis or adverse events related to Furosemide treatment. <br/>There is higher drop-out rate in the patients who received bolus injection of Furosemide as compared to those received continuous infusion of Furosemide. </p>",Low risk,"<p>The outcome assessors were not blinded to the treatment allocation of the patients.<br/>However, the assessment of the outcome doesn't involve subjective judgment from assessors.</p>",Some concerns,<p>Lack of information in a pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis.</p>,High risk,<p>High risk of bias due to missing outcome data. </p>
2,1,Net weight loss (kg),,SUBGROUP_AND_OVERALL,Allen 2010,2010,0.0,0.0,2.66,2.44,0,20,1.64,2.34,0,21,0.0,0.0,26.770747,1.02,-0.444636,2.484636,"Until hospital day 3 or discharge, whichever came first.",Some concerns,<p>Patients were randomized in a 1:1 ratio using a computer-generated scheme. <br/>No information available regarding the concealment of allocation sequence. </p>,Low risk,<p>No blinding applied to patients nor caregivers. </p>,Low risk,<p>Follow-up was 100% at discharge. </p>,Low risk,"<p>No blinding to the assessors, however, the outcome doesn't involve subjective judgment therefore unlikely to be influenced by the possible awareness of allocation by the assessors. </p>",Some concerns,<p>No pre-specified analysis plan available or published prior to the analysis of the outcome data. </p>,Some concerns,"<p>There are concerns of bias in the randomization process due to lack of information over the concealment of the allocation, as well as in the selection of the reported result due to lack of pre-specified analysis plan. </p>"
2,1,Net weight loss (kg),,SUBGROUP_AND_OVERALL,Felker 2011,2011,0.0,0.0,3.67,4.67,0,152,3.08,3.54,0,156,0.0,0.0,66.794924,0.59,-0.337232,1.517232,At 72 hours.,Low risk,"<p>The study treatment, with group assignments concealment, was continued for up to 72 hours. After 72 hours, all treatment was open-label at the discretion of the treating physician, who did not have knowledge of the prior study-treatment assignment. </p>",Low risk,"<p>A double-blind, double-dummy design was used so that all patients received both intravenous boluses every 12 hours and a continuous infusion, one of which contained Furosemide and the other a saline placebo. </p><p>Intention-to-treat analysis used. </p>",Low risk,"<p>No lost in follow-up, and no exclusion from analysis in this outcome.</p>",Low risk,"<p>Double-blind, double-dummy design. Also, the measurement of body weight is unlikely to be influenced by the allocation of the patients as it is not a subjective outcome. </p>",Low risk,<p>The analysis plan published ahead of the trial in keeping with the published version. </p>,Low risk,<p>Low risk of bias in all sections. </p>
2,1,Net weight loss (kg),,SUBGROUP_AND_OVERALL,Yayla 2015,2015,0.0,0.0,4.6,5.2,0,15,4.1,2.7,0,14,0.0,0.0,6.434329,0.5,-2.487503,3.487503,Until decompensation.,Low risk,<p>Patients were randomized to the therapeutic regimens by an initial computer algorithm blinded to the treating physicians. <br/>No significant difference at baseline characteristics except the difference in the percentage of beta blocker usage between the treatment groups. </p>,Low risk,"<p>Blinding to the treating physicians applied, however, patients should be able to tell whether they received bolus injections or continuous infusions of Furosemide. </p>",Low risk,<p>No missing outcome data.</p>,Low risk,"<p>No blinding to the assessors mentioned. However, the outcome assessment doesn't involve subjective judgment, therefore is unlikely to be influenced by the awareness of the allocation.</p>",Some concerns,<p>No analysis protocol/plan availble to check against which was published prior to the study. </p>,Some concerns,"<p>Patients were randomized to the therapeutic regimens by an initial computer algorithm blinded to the treating physicians. <br/>No significant difference in baseline characteristics except the difference in the percentage of beta blocker usage between the treatment groups. <br/>Blinding to the treating physicians applied, however, patients should be able to tell whether they received bolus injections or continuous infusions of Furosemide.</p><p>No blinding to the assessors was reported. However, the outcome assessment doesn't involve subjective judgment, therefore is unlikely to be influenced by the awareness of the allocation.</p><p>Some concerns in the risk of bias in the selection of reported results due to the lack of a pre-specified analysis plan which was finalized before unblinded outcome data were available for analysis. </p>"
2,2,All-cause mortality,,SUBGROUP_AND_OVERALL,Allen 2010,2010,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0,21,0.0,0.0,4.319509,3.142857,0.135454,72.921919,90 days.,Some concerns,<p>Patients were randomized in a 1:1 ratio using a computer-generated scheme. <br/>No information available regarding the concealment of allocation sequence. </p>,Low risk,<p>Not blinding of the patients or caregivers. It is possible for both sides to know whether the patient was allocated to the continuous infusion group or bolus group due to obvious differences in its administration.<br/>No deviation was noted.</p><p>ITT.</p>,Low risk,<p>No missing data.</p>,Low risk,"<p>Assessors were not blinded to the allocation of patients, however, given mortality data doesn't involve subjective assessment or judgment from the assessors, therefore, the possibility of assessors' awareness is unlikely to influence the outcomes.</p>",Some concerns,<p>No information in pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis</p>,Some concerns,"<p>Some concerns in risk of bias from the randomization process due to lack of information in the concealment of allocation, and lack of information in the pre-specified analysis plan. </p>"
2,2,All-cause mortality,,SUBGROUP_AND_OVERALL,Felker 2011,2011,0.0,0.0,0.0,0.0,16,152,0.0,0.0,13,156,0.0,0.0,87.924683,1.263158,0.629204,2.535852,60 days.,Low risk,"<p>The study treatment, with group assignments concealment, was continued for up to 72 hours. After 72 hours, all treatment was open-label at the discretion of the treating physician, who did not have knowledge of the prior study-treatment assignment. </p>",Low risk,"<p>A double-blind, double-dummy design was used so that all patients received both intravenous boluses every 12 hours and a continous infusion, one of which contained Furosemide and the other a saline placebo.</p><p>ITT.</p>",Low risk,"<p>No lost in follow-up, and no exclusion from analysis in this outcome.</p>",Low risk,"<p>Double-blind, double-dummy design. The mortality assessment doesn't involve subjective judement either. </p>",Low risk,<p>The ananlysis plan published ahead of the trial in keeping with the published version. </p>,Low risk,<p>Low risk of bias in all sections. </p>
2,2,All-cause mortality,,SUBGROUP_AND_OVERALL,Shah 2014,2014,0.0,0.0,0.0,0.0,1,30,0.0,0.0,2,30,0.0,0.0,7.755808,0.5,0.047851,5.224499,30 days.,Some concerns,<p>No description in randomization and allocation concealment.<br/>No significant difference noted at baseline.</p>,Some concerns,<p>Not blinding of the patients or caregivers. It is possible for both sides to know whether the patient was allocated to the continuous infusion group or bolus group due to obvious differences in its administration.<br/>No deviation was noted.<br/>Intention-to-treat analysis. </p>,Low risk,<p>No missing outcome data. </p>,Low risk,"<p>Assessors were not blinded to the allocation of patients. However, the assessment of all-cause mortality is not a judgmental process.</p>",Some concerns,<p>No information in a pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis.</p>,Some concerns,<p>Some concerns in the deviations from the intended interventions and selection of reported result. </p>
2,3,Length of hospital stay (days),,SUBGROUP_AND_OVERALL,Allen 2010,2010,0.0,0.0,9.85,11.72,0,20,8.86,3.82,0,21,0.0,0.0,13.066065,0.99,-4.400007,6.380007,,Some concerns,<p>Patients were randomized in a 1:1 ratio using a computer-generated scheme. <br/>No information available regarding the concealment of allocation sequence. </p>,Low risk,<p>Not blinding of the patients or caregivers. It is possible for both sides to know whether the patient was allocated to the continuous infusion group or bolus group due to obvious differences in its administration.<br/>No deviation was noted.</p><p><br/>Intention-to-treat analysis. </p>,Low risk,<p>No missing outcome data. </p>,Low risk,"<p>Assessors were not blinded to the allocation of patients.</p><p>However, the length of hospital stay doesn't involve subjective judgment, therefore, unlikely to be influenced by the awareness of the allocation by the assessors.</p>",Some concerns,<p>Lack of information in a pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis.x`</p>,Some concerns,<p>Some concerns from the randomization process and in the selection of the reported result. </p>
