review_group,review_pdf,review_id,extracted_title,extracted_year,extracted_issue,extracted_doi,in_pubmed,pmid,pubmed_title,pubmed_journal,pubmed_year,pubmed_doi,pubmed_publication_types,title_similarity,lookup_method,candidate_pmids,in_pmc,pmcid,pubmed_url,pmc_url,lookup_status,lookup_errors
first_pass,CD010441_hyaluronidase_perineal.pdf,CD010441,Hyaluronidase for reducing perineal trauma,2024,11,10.1002/14651858.CD010441.pub3,yes,39540564,Hyaluronidase for reducing perineal trauma.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD010441.pub3,Journal Article; Meta-Analysis; Systematic Review,1.000,doi,39540564,yes,PMC11562017,https://pubmed.ncbi.nlm.nih.gov/39540564/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11562017/,matched,
first_pass,CD012178_lutein_preterm.pdf,CD012178,Lutein and zeaxanthin for reducing morbidity and mortality in preterm infants,2025,4,10.1002/14651858.CD012178.pub2,yes,40292760,Lutein and zeaxanthin for reducing morbidity and mortality in preterm infants.,The Cochrane database of systematic reviews,2025,10.1002/14651858.CD012178.pub2,Journal Article; Systematic Review; Meta-Analysis,1.000,doi,40292760,yes,PMC12035999,https://pubmed.ncbi.nlm.nih.gov/40292760/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12035999/,matched,
first_pass,CD012214_metformin_hyperplasia.pdf,CD012214,Metformin for endometrial hyperplasia,2024,5,10.1002/14651858.CD012214.pub3,yes,38695827,Metformin for endometrial hyperplasia.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD012214.pub3,"Systematic Review; Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't",1.000,doi,38695827,yes,PMC11064888,https://pubmed.ncbi.nlm.nih.gov/38695827/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11064888/,matched,
first_pass,CD014762_nsaids_uti.pdf,CD014762,Non-steroidal anti-inflammatory drugs for treating symptomatic uncomplicated urinary tract infections in non-pregnant adult women,2024,12,10.1002/14651858.CD014762.pub2,yes,39698942,Non-steroidal anti-inflammatory drugs for treating symptomatic uncomplicated urinary tract infections in non-pregnant adult women.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD014762.pub2,Journal Article; Systematic Review; Meta-Analysis,1.000,doi,39698942,yes,PMC11656515,https://pubmed.ncbi.nlm.nih.gov/39698942/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11656515/,matched,
first_pass,CD014811_loop_diuretics_hf.pdf,CD014811,Continuous infusion versus bolus injection of loop diuretics for acute heart failure,2024,5,10.1002/14651858.CD014811.pub2,yes,38775253,Continuous infusion versus bolus injection of loop diuretics for acute heart failure.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD014811.pub2,Systematic Review; Journal Article; Meta-Analysis,1.000,doi,38775253,yes,PMC11110107,https://pubmed.ncbi.nlm.nih.gov/38775253/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11110107/,matched,
first_pass,CD014960_antibiotics_leptospirosis.pdf,CD014960,Antibiotics for treatment of leptospirosis,2024,3,10.1002/14651858.CD014960.pub2,yes,38483092,Antibiotics for treatment of leptospirosis.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD014960.pub2,Systematic Review; Journal Article; Meta-Analysis,1.000,doi,38483092,yes,PMC10938876,https://pubmed.ncbi.nlm.nih.gov/38483092/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10938876/,matched,
first_pass,CD015040_rtms_ptsd.pdf,CD015040,Repetitive transcranial magnetic stimulation for post-traumatic stress disorder in adults,2024,8,10.1002/14651858.CD015040.pub2,yes,39092744,Repetitive transcranial magnetic stimulation for post-traumatic stress disorder in adults.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD015040.pub2,Journal Article; Systematic Review; Meta-Analysis,1.000,doi,39092744,yes,PMC11295260,https://pubmed.ncbi.nlm.nih.gov/39092744/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11295260/,matched,
first_pass,CD015751_lubricating_drops_lens.pdf,CD015751,Lubricating drops for contact lens discomfort in adults,2024,9,10.1002/14651858.CD015751.pub2,yes,39234924,Lubricating drops for contact lens discomfort in adults.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD015751.pub2,Journal Article; Systematic Review,1.000,doi,39234924,yes,PMC11375780,https://pubmed.ncbi.nlm.nih.gov/39234924/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11375780/,matched,
second_pass,CD004661_magnesium_preterm_neuro.pdf,CD004661,Magnesium sulphate for women at risk of preterm birth for neuroprotection of the fetus,2024,5,10.1002/14651858.CD004661.pub4,yes,38726883,Magnesium sulphate for women at risk of preterm birth for neuroprotection of the fetus.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD004661.pub4,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Review",1.000,doi,38726883,yes,PMC11082932,https://pubmed.ncbi.nlm.nih.gov/38726883/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11082932/,matched,
second_pass,CD006586_drospirenone_pms.pdf,CD006586,Oral contraceptives containing drospirenone for premenstrual syndrome,2023,6,10.1002/14651858.CD006586.pub5,yes,37365881,Oral contraceptives containing drospirenone for premenstrual syndrome.,The Cochrane database of systematic reviews,2023,10.1002/14651858.CD006586.pub5,Journal Article; Review,1.000,doi,37365881,yes,PMC10289136,https://pubmed.ncbi.nlm.nih.gov/37365881/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10289136/,matched,
second_pass,CD012664_calcium_vitd_bone.pdf,CD012664,Calcium and vitamin D for increasing bone mineral density in premenopausal women,2023,1,10.1002/14651858.CD012664.pub2,yes,36705288,Calcium and vitamin D for increasing bone mineral density in premenopausal women.,The Cochrane database of systematic reviews,2023,10.1002/14651858.CD012664.pub2,"Journal Article; Research Support, Non-U.S. Gov't; Systematic Review",1.000,doi,36705288,yes,PMC9881395,https://pubmed.ncbi.nlm.nih.gov/36705288/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9881395/,matched,
second_pass,CD013476_aspirin_desensitisation.pdf,CD013476,Oral and intranasal aspirin desensitisation for non-steroidal anti-inflammatory drug (NSAID)-exacerbated respiratory disease,2025,1,10.1002/14651858.CD013476.pub2,yes,39775459,Oral and intranasal aspirin desensitisation for non-steroidal anti-inflammatory drug (NSAID)-exacerbated respiratory disease.,The Cochrane database of systematic reviews,2025,10.1002/14651858.CD013476.pub2,Journal Article; Meta-Analysis; Systematic Review,1.000,doi,39775459,yes,PMC12043203,https://pubmed.ncbi.nlm.nih.gov/39775459/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12043203/,matched,
second_pass,CD013595_daratumumab_ndmm.pdf,CD013595,Daratumumab and antineoplastic therapy versus antineoplastic therapy only for adults with newly diagnosed multiple myeloma ineligible for transplant,2024,5,10.1002/14651858.CD013595.pub2,yes,38695605,Daratumumab and antineoplastic therapy versus antineoplastic therapy only for adults with newly diagnosed multiple myeloma ineligible for transplant.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD013595.pub2,"Journal Article; Research Support, Non-U.S. Gov't; Review",1.000,doi,38695605,yes,PMC11064765,https://pubmed.ncbi.nlm.nih.gov/38695605/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11064765/,matched,
second_pass,CD013765_af_ablation_drugs.pdf,CD013765,Oral Class I and III antiarrhythmic drugs for maintaining sinus rhythm after catheter ablation of atrial fibrillation,2023,3,10.1002/14651858.CD013765.pub2,yes,36915032,Oral Class I and III antiarrhythmic drugs for maintaining sinus rhythm after catheter ablation of atrial fibrillation.,The Cochrane database of systematic reviews,2023,10.1002/14651858.CD013765.pub2,"Journal Article; Systematic Review; Research Support, Non-U.S. Gov't",1.000,doi,36915032,yes,PMC10014144,https://pubmed.ncbi.nlm.nih.gov/36915032/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10014144/,matched,
second_pass,CD013823_b12_pregnancy.pdf,CD013823,Vitamin B12 supplementation during pregnancy for maternal and child health outcomes,2024,1,10.1002/14651858.CD013823.pub2,yes,38189492,Vitamin B12 supplementation during pregnancy for maternal and child health outcomes.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD013823.pub2,Journal Article; Systematic Review,1.000,doi,38189492,yes,PMC10772977,https://pubmed.ncbi.nlm.nih.gov/38189492/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10772977/,matched,
second_pass,CD014803_omega3_depression_youth.pdf,CD014803,Omega-3 fatty acid supplementation for depression in children and adolescents,2024,11,10.1002/14651858.CD014803.pub2,yes,39564892,Omega-3 fatty acid supplementation for depression in children and adolescents.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD014803.pub2,Journal Article; Systematic Review; Meta-Analysis,1.000,doi,39564892,yes,PMC11577543,https://pubmed.ncbi.nlm.nih.gov/39564892/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11577543/,matched,
