Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Feagan 2008c,Unclear risk,<p>Not described. Authors were contacted for clarification.</p>,Unclear risk,<p>Not described. Authors were contacted for clarification.</p>,Low risk,<p>Placebo-controlled trial.</p>,Unclear risk,<p>Not described. Authors were contacted for clarification.</p>,Low risk,"<p>Low, balanced and explained attrition</p>",Low risk,<p>Reported as per the trial registration.</p>,Low risk,<p>Balanced baseline characteristics. No other concerns.</p>
Feagan 2015a (UNITI-1),Low risk,"<p>Randomisation was described as 1:1:1 and performed ""centrally with the use of permuted blocks"".&nbsp;</p>",Low risk,"<p>Randomisation was described as 1:1:1 and performed ""centrally with the use of permuted blocks"".&nbsp;</p>",Low risk,"<p>Double-blind placebo controlled trial</p>
<p>From the protocol: ""To maintain the study blind, the study agent container will have a multilingual label containing the study name, medication number, and reference number, but the label will not identify the study agent in the container. A tear-off label is designed to be separated from the study agent container and attached to the subject's source documents. The medication number will be entered in the CRF when the drug is dispensed. The study agents will be identical in appearance and packaging""</p>",Unclear risk,<p>Not mentioned. Authors were contacted for clarification.</p>,Unclear risk,<p>Authors mention attrition was low but the study flow is unclear and not presented in the supplementary figures mentioned in the text</p>,Low risk,<p>Reported outcomes match those described in the trial registration.</p>,Low risk,<p>Authors reported balanced baseline characteristics in each group. No other sources of bias.</p>
Feagan 2015b(UNITI-2),Low risk,"<p>Randomisation was described as 1:1:1 and performed ""centrally with the use of permuted blocks"".&nbsp;</p>",Low risk,"<p>Randomisation was described as 1:1:1 and performed ""centrally with the use of permuted blocks"".&nbsp;</p>",Low risk,"<p>Double-blind placebo controlled trial</p>
<p>From the protocol: ""To maintain the study blind, the study agent container will have a multilingual label containing the study name, medication number, and reference number, but the label will not identify the study agent in the container. A tear-off label is designed to be separated from the study agent container and attached to the subject's source documents. The medication number will be entered in the CRF when the drug is dispensed. The study agents will be identical in appearance and packaging""</p>",Unclear risk,<p>Not mentioned. Authors were contacted for clarification.</p>,Unclear risk,<p>Authors mention attrition was low but the study flow is unclear and not presented in the supplementary figures mentioned in the text</p>,Low risk,<p>Reported outcomes match those described in the trial registration.</p>,Low risk,<p>Authors reported balanced baseline characteristics in each group. No other sources of bias.</p>
Feagan 2015c (IM-UNITI),Low risk,"<p>Randomisation was described as 1:1:1 and performed ""centrally with the use of permuted blocks"".&nbsp;</p>",Low risk,"<p>Randomisation was described as 1:1:1 and performed ""centrally with the use of permuted blocks"".&nbsp;</p>",Low risk,"<p>Double-blind placebo controlled trial</p>
<p>From the protocol: ""To maintain the study blind, the study agent container will have a multilingual label containing the study name, medication number, and reference number, but the label will not identify the study agent in the container. A tear-off label is designed to be separated from the study agent container and attached to the subject's source documents. The medication number will be entered in the CRF when the drug is dispensed. The study agents will be identical in appearance and packaging""</p>",Unclear risk,<p>Not mentioned. Authors were contacted for clarification.</p>,Low risk,<p>Authors mention attrition was low but the study flow is unclear and not presented in the supplementary figures mentioned in the text</p>,Low risk,<p>Reported outcomes match those described in the trial registration.</p>,Low risk,<p>Authors reported balanced baseline characteristics in each group. No other sources of bias.</p>
Feagan 2017,Low risk,"<p>An interactive response system was used to assign a double-blind investigational product to<br>
 every patient. Randomisation was stratified by previous exposure to TNF antagonists (yes vs no). A randomisation list was generated using a validated system, which involved a pseudorandom number generator to guarantee the reproducibility of the assignments. This randomisation list was checked by an independent statistician and used to assign randomisation numbers to eligible patients.&nbsp;</p>",Low risk,"<p>A randomisation list was generated using a validated system, which involved a pseudorandom number generator to guarantee the reproducibility of the assignments. This randomisation list was checked by an independent statistician and used to assign randomisation numbers to eligible patients. Access to the randomisation code was controlled and documented. &nbsp;</p>",Low risk,"<p>All people directly involved in the conduct and analysis of the trial (including patients, investigators, and study personnel) were fully masked to the treatment allocation before the week 12 database lock. To maintain masking, study drug packaging was identical irrespective of treatment and was only distinguishable by medication number, which was managed by the central randomisation centre. Both risankizumab and placebo appeared as clear solutions.</p>",Low risk,"<p>All people directly involved in the conduct and analysis of the trial (including patients, investigators, and study personnel) were fully masked to the treatment allocation before the week 12 database lock. To maintain masking, study drug packaging was identical irrespective of treatment and was only distinguishable by medication number, which was managed by the central randomisation centre. Both risankizumab and placebo appeared as clear solutions.</p>",Low risk,<p>Attrition was low and balanced</p>,Low risk,<p>All relevant efficacy and safety outcomes reported as per the trial registration.</p>,Low risk,"<p>Baseline characteristics are balanced accross the study arms</p>
<p>No other sources of bias apparent</p>"
Ferrante 2022 - FORTIFY,Low risk,"<p>Randomised and assigned via interactive response technology.</p>
<p>Patients with a low SES-CD at the induction study baseline, patients who received 24 weeks of induction dosing, and patients from a non-compliant site (ie, without investigator oversight) were also randomly assigned and were included in the safety population, but not in the efficacy population.</p>",Low risk,"<p>&nbsp;To maintain blinding, risankizumab and placebo kits were identical in appearance. Study investigators enrolled articipants. Interactive response technology determined assignment of participants to a treatment group.</p>",Low risk,"<p>Kits identical in appearance. Patients, investigators, and study personnel involved in the trial conduct or analyses<br>
 were masked to treatment assignments until study completion.</p>",Low risk,"<p>Kits identical in appearance. Patients, investigators, and study personnel involved in the trial conduct or analyses<br>
 were masked to treatment assignments until study completion.</p>",Unclear risk,"<p>From the randomised patients, 22 assigned to risa 180mg did not receive the intervention, 38 in the 360mg group and 20 in the placebo group. 144, 124 and 144 completed the trial and the reasons for leaving the study are equally distributed.</p>",Unclear risk,"<p>The study has been prospectively registered, however the primary outcomes are not entirely the same between paper and trial registration. The outcomes reported are appropriate.</p>",Low risk,<p>No baseline imbalances. No other sources of bias.</p>
Ferrante 2024 (VIVID-1),Low risk,"<p>""randomly assigned with an interactive web response system""</p>",Low risk,"<p>""An unmasked pharmacist (or qualified designee) prepared the intravenous solutions. Study investigators, study site personnel, and participants were masked to treatment allocation.""</p>",Low risk,"<p>""All treatments were masked. To maintain masking, placebo was administered as appropriate, either intravenously, subcutaneously, or both, using a double-dummy design""</p>",Low risk,<p>Outcome assessment for patient reported clinical outcomes and endoscopies was blinded (central reading).</p>,Unclear risk,"<p>1152 patients were randomised but 87 were excluded before receiving medication and it's not mentioned how many were excluded per group. 7% of those who received treatment left the placebo group, 2.7% the mirikizumab group and 3.4% the ustekinumab group. The rates of participants discontinuing due to adverse events vary.</p>",Low risk,<p>No major concerns based on the trial registration and supplementary material amendments to the protocol section. NCT03926130.</p>,Low risk,<p>No concerns</p>
Ghosh 2003,Low risk,"<p>""Randomly assigned to one of four treatment regimens according to a computer-generated, site-stratified, block randomization schedule"".</p>",Low risk,"<p>""Randomly assigned to one of four treatment regimens according to a computer-generated, site-stratified, block randomization schedule"".</p>",Low risk,<p>The authors state that neither the study personnel nor the patients were aware of the interventions.&nbsp;</p>,Low risk,<p>The authors state that neither the study personnel nor the patients were aware of the interventions.&nbsp;</p>,Low risk,"<p>Attrition in each group was the same with reasons being provided. Of the 244 patients who received at least one dose of the assignments 27 withdrew from the study before completing 12 weeks: 10 in the placebo group, 6 in the single natalizumab group, 5 in the group given two 3mg natalizumab infusions, and 6 in the two 6mg natalizumab infusion.</p>",Unclear risk,"<p>Based on the method section, the study reported CDAI results. However, there is no trial registration or protocol we could find.</p>",Low risk,<p>Authors reported balanced baseline characteristics in each group. No other sources of bias.</p>
Gordon 2001,Unclear risk,<p>It is <i>unclear how the patients were randomised</i>. Authors were contacted for clarification.</p>,Low risk,"<p>""Individual randomization concealment codes were held by the trial’s sponsor and each hospital’s pharmacy for emergency use, and none were opened during the study"".</p>",Low risk,"<p>Author states ""Investigators and patients remained blinded to the randomization codes until data analysis was complete"".&nbsp;</p>",Low risk,"<p>Author states ""Investigators and patients remained blinded to the randomization codes until data analysis was complete"".&nbsp;</p>",Low risk,<p>All patients are accounted for and attrition rate is balanced between both groups. Reasons for withdrawal were clear.</p>,Unclear risk,"<p>According to method section, study reported the outcomes in the results - CDAI score for both groups. However, we could not find a trial registration or protocol for this trial.</p>",Low risk,<p>Baseline characteristics are reported and balanced. No other source of bias apparent</p>
Hanauer 2002 (ACCENT I) - Induction (non-response),Low risk,<p>Authors mention random assignment via adaptive randomisation voice response system</p>,Low risk,"<p>Authors mention ""allocation of patients to a treatment group was done with an adaptive stratified design"" and ""allocate patients centrally to treatment based on the current balance of treatment groups within each stratum"".&nbsp;</p>",Low risk,"<p>Authors state ""Neither the patients nor study investigators were aware of the treatment assignment"" and ""pharmacist prepared the infusion (infliximab [Remicade] or an identically appearing placebo"".&nbsp;</p>",Low risk,"<p>""Neither the patients nor study investigators were aware of the treatment assignment"" and ""pharmacist prepared the infusion (infliximab [Remicade] or an identically appearing placebo"".&nbsp;</p>",Unclear risk,<p>This group was only followed-up for safety. Safety data is presented for the entire cohort and not separately throughout the end of the study.&nbsp;</p>,Unclear risk,<p>Safety data and primary efficacy data is given for the entire cohort and not separately. The trial registration information is very unclear.</p>,Unclear risk,"<p>Baseline characteristics reported were summarised for all patients, responders and non-responders.&nbsp;</p>"
Hanauer 2002 (ACCENT I) - Maintenence (Responders),Low risk,<p>Authors mention random assignment via adaptive randomisation voice response system</p>,Low risk,"<p>""Allocation of patients to a treatment group was done with an adaptive stratified design"" and ""allocate patients centrally to treatment based on the current balance of treatment groups within each stratum"".</p>",Low risk,"<p>""Neither the patients nor study investigators were aware of the treatment assignment"" and ""pharmacist prepared the infusion (infliximab [Remicade] or an identically appearing placebo"".&nbsp;</p>",Low risk,"<p>""Neither the patients nor study investigators were aware of the treatment assignment"" and ""pharmacist prepared the infusion (infliximab [Remicade] or an identically appearing placebo"".&nbsp;</p>",Low risk,<p>Safety data is presented for the entire cohort throughout the end of the study. No concers that attrition might have affected the results.</p>,Unclear risk,<p>Outcomes reported as per the methods section. The trial registration provides little information so we can't be sure if the pre-specified plan was followed.</p>,Unclear risk,<p>Baseline characteristics were not provided per treatment group for the week-2 resonders.</p>
Hanauer 2006 (CLASSIC I),Low risk,"<p>Patients were randomised using an ""intercative voice response system"".&nbsp;</p>",Low risk,"<p>Authors states ""pharmacist blinded to the identity of the study drug prepared each injection of adalimumab or an identical-appearing placebo""</p>",Low risk,"<p>&nbsp;""patients, study coordinators, and study investigators were all blinded to treatment assignment""</p>",Low risk,"<p>&nbsp;""patients, study coordinators, and study investigators were all blinded to treatment assignment""</p>",Low risk,<p>Attrition is balanced between all 4 groups and reasons provided for each group accounts for the loss in numbers.</p>,Unclear risk,<p>Author reported according to method section on proportion of patients achieving clinical response and remission. No trial registration or protocol found.</p>,Low risk,<p>All baseline characteristics were balanced. No other concerns.</p>
Hanauer 2021 (VOLTAIRE-CD),Low risk,"<p>Author states ""randomisation number-generating system"".</p>",Low risk,"<p>Author states ""interactive response technology system assigned each patient a unique medication number for each drug administration""</p>",Low risk,"<p>Authors state ""All personnel directly involved in the conduct of the trial and patients remained masked to treatment allocation until after database lock at week 24. Unmasked trial personnel receiving, handling, and administering the trial medication were not involved in any other trial assessments or procedures.""</p>",Low risk,"<p>Authors state ""All personnel directly involved in the conduct of the trial and patients remained masked to treatment allocation until after database lock at week 24"" so authors contacted to confirm outcome assessors were unaware of treatment assignments.</p>",Low risk,"<p>Attrition in both groups accounted for and balanced, with adequate reasons provided respectively.</p>",Low risk,"<p>According to trial registration and method section, authors reported relevant endpoint outcomes - clinical response and remission (CDAI scores).</p>",Low risk,<p>Baseline characteristics reported for and balanced in both groups. No other apparent sources of bias.</p>
Hart 2025 (GRAVITI),Low risk,"<p>""Computer-generated randomization schedule""</p>",Low risk,"<p>Interactive web response system (IWRS) which assigns a unique intervention code, which dictates the intervention assignment andmatching study intervention kit for the participant. The requestor uses their own user identification and personal identification number when contacting the IWRS, and is then given the relevant participant details to uniquely identify the participant</p>",Low risk,"<p>Treatment assignment remained blinded to the study sites and participants until the last participant completed the Week 48 evaluations. To maintain the study blind, the study intervention container had a label containing the study name, study intervention number, and reference number. The study intervention number was entered in the eCRF when the study intervention was dispensed. Each active study intervention and its matching placebo were identical in appearance and were packaged in identical containers. All participants received the same device(s), which were either active or matching placebo at 4-week intervals in order to maintain treatment blinding.</p>",Low risk,<p>Clinicians and patients were blinded for the assessment and self-assessment of clinical outcomes. Video endoscopies were assessed by a central facility that was blinded to treatment group and visit.</p>,Unclear risk,<p>12/17 had discontinued placebo treatment by week 12 compared to 2/115 and 1/115 in the two guselkumab groups. Reasons per group are unclear but most common reason was withdrawal by participant (2.0% total).</p>,Low risk,<p>Pre-planned outcomes reported appropriately per trial registration. NCT05197049. Clinical response and endocopic remission do not appear in the NCT study plan but reported in results.</p>,Low risk,<p>No concerns</p>
Jairath 2025 (RELIEVE UCCD),Unclear risk,<p>No details (abstract only publication)</p>,Unclear risk,<p>No details (abstract only publication)</p>,Low risk,"<p>Double-blind study, no more details (abstract only publication)</p>",Unclear risk,<p>No details (abstract only publication)</p>,Unclear risk,<p>No complete data on attrition per group.</p>,Unclear risk,<p>As this is an abstract only publication many of the outcomes have not been reported.</p>,Low risk,<p>No concerns but males overrespresented.</p>
Jorgensen 2017 (NORSWITCH),Low risk,<p>This was computer-generated randomised as stated by the authors.</p>,Low risk,"<p>Author stated ""computer-generated randomised allocation sequence was imported into the electronic case report form (eCRF) system (Viedoc; version 3.20) and made available exclusively to the study nurse authorised by the local principal investigator to prepare infusions"". The author has confirmed the nurse was unrelated to the study.</p>",Low risk,"<p>Author stated ""site person authorised for infusion preparation logged into the eCRF system to reveal the allocation, prepared allocated treatment in identical infusion bags, and applied labels with patient number and dose"" and specified that the ""following personnel were not masked to treatment allocation: the statistician preparing the randomised allocation sequence; the data manager importing the allocation sequence into the eCRF system and providing access to the allocation sequence; and site personnel authorised to prepare study treatment"". Author further stated ""All individuals providing patient care were masked to treatment allocation, including investigators, nurses giving infusions, and personnel assessing outcomes. Monitors and patients were also masked to treatment allocation"".</p>",Low risk,"<p>Author stated ""All individuals providing patient care were masked to treatment allocation, including investigators, nurses giving infusions, and personnel assessing outcomes. Monitors and patients were also masked to treatment allocation""</p>",Low risk,<p>Attrition in both groups balanced and all numbers were accounted for with clear reasons provided.</p>,Low risk,<p>The author reported according to their methd section on Harvey Bradshaw Index (HBI) for Crohn's Disease.</p>,Low risk,<p>Baseline characteristics for each group reported and balanced. No other apparent sources of bias.</p>
