Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Ehn 1968,1968,PUB,2917110,"<p><i>Type of study</i>: parallel, 3-arm randomised controlled trial</p>
<p><i>Country of study</i>: Sweden</p>
<p><i>Study setting</i>: single centre</p>
<p><i>Number of participants randomised</i>: not reported</p>
<p><i>Number of participants analysed</i>: (after 4 donations):<br>
 Treatment arm 1: 12<br>
 Treatment arm 2: 12<br>
 Treatment arm 3: 18</p>
<p><i>Follow-up time points</i>: 2 months after 6 donations subsequent to baseline donation; inter-donation interval of 2 months</p>
<p><i>Hb threshold for deferral from donation</i>: not reported</p>
<p><i>Source of funding</i>: supported by AB Hassle, Molndal Medical Research Fund, County of Ostergotland</p>","<p>Young male first-time donor conscripts</p>
<p><i>Mean age (years)</i>: both arms combined (subset of 58 subjects): mean 20, range 18 to 23</p>
<p><i>Sex (% male)</i>: 100%</p>","<p>Treatment arm 1: oral iron (Ferromyn S, AB Hassle); 37 mg as ferrous succinate + 0.11 g succinic acid taken as 2 tablets twice daily for 2 weeks. Total dose: 2000 mg</p>
<p>Treatment arm 2: oral iron (Ferromyn S, AB Hassle); 37 mg as ferrous succinate + 0.11 g succinic acid taken twice daily for 2 weeks. Total dose: 1000 mg</p>
<p>Treatment arm 3: oral placebo taken twice daily</p>","<p>Haemoglobin; serum iron, total iron binding capacity; stainable bone marrow iron; sideroblasts; desferrioxamine test</p>","<p>This trial was not prospectively registered. No information on ethical approval for this study was provided.</p><p><i>No usable data as outcomes presented graphically with limited detail, and with SDs or other reporting of variance, except baseline measures</i></p>"
Fontana 2014a (ISUB),2014,PUB,28776643,"<p><i>Type of study</i>: parallel, double-blind, randomised, placebo-controlled trial</p>
<p><i>Country of study</i>: Switzerland</p>
<p><i>Study setting</i>: blood donation centre of the Interregional Blood Transfusion Service of the Swiss Red Cross in Bern, Switzerland</p>
<p><i>Number of participants randomised</i>: 405 (randomised 1:1, iron group n=203, placebo group n=202)</p>
<p><i>Number of participants analysed</i>: iron group n=198, placebo group n=195</p>
<p><i>Follow-up time points</i>: 6-8 weeks after intervention</p>
<p><i>Source of funding</i>: University Hospital Inselspital, Berne; Blutspendedienst SRK Bern AG, 3008 Bern, Switzerland; University of Bern; Humanitäre Stiftung des Schweizerischen Roten Kreuzes, 3011 Bern, Switzerland</p>",<p>No group differences noted at baseline.</p><p>Only repeat/regular donors</p><p><b>Iron group (n = 203)</b></p><p>Age (years): mean 42.1 SD 12.2</p><p>Male/female: 94/203 F (46.3%)</p><p>Weight or BMI: NR</p><p>Serum ferritin: 18.5 SD 9.8 mcg/L</p><p>Donations in previous 2 years: 5.0 SD 1.9</p><p><b>Placebo group (n = 202)</b></p><p>Age (years): mean 42.2 SD 12.3</p><p>Male/female: 93/202 F (46% F)</p><p>Weight or BMI: NR</p><p>Serum ferritin: 18.7 SD 10.4 mcg/L</p><p>Donations in previous 2 years: 5.3 SD 1.8</p>,"<p>Four to six weeks afer the initial eligibility assessment and last blood donation, 800 mg ferric<br>
 carboxymaltose (Ferinject) in 200 ml 0.9% sodium chloride solution or placebo (200 ml 0.9% sodium chloride solution) were administered intravenously over a period of 15 min... additional blood donation was not allowed until outcome assessment was conducted 6–8 weeks later</p>
<p><b>Iron group</b>: IV (verum) iron of 800 mg iron carboxymaltose (Ferinject)</p>
<p><b>Placebo</b>: IV placebo (0.9% NaCl solution)</p>","<p>Difference in fatigue on a 10-point numeric scale after intravenous substitution of iron or placebo at 6 weeks (measured by questionnaire) (primary outcome); differences in multi-dimensional fatigue symptom inventory (MFSI-SF); EuroQol for live quality (EQ, VAS and Index); symptom checklist (SCL-27); Jenkins sleep questionnaire (JSQ); ferritin</p>","<p>NCT01519830 (registered Jan 2012); Swissmedic 2011DR3145; ISUB</p><p>Randomised from December 6, 2011 to January 29, 2013</p><p>Corresponding author: Roland von Känel; 2 Department of Consultation‑Liaison Psychiatry and Psychosomatic Medicine, University Hospital Zurich, University of Zurich, Culmannstrasse 8, 8091 Zurich, Switzerland</p>"
Frykman 1994,1994,PUB,2917114,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: Sweden</p>
<p><i>Study setting</i>: single blood donor centre</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 50<br>
 Treatment arm 2: 50</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 48<br>
 Treatment arm 2: 44</p>
<p><i>Follow-up time points</i>: 3 months from baseline</p>
<p><i>Hb threshold for deferral from donation</i>: not reported</p>
<p><i>Source of funding</i>: not reported</p>","<p>Regular blood donors</p>
<p><i>Mean age (years)</i>:</p>
<p>Treatment arm 1: median age 45 (male), 44.5 (female)<br>
 Treatment arm 2: median age 41 (male), 45 (female)</p>
<p><i>Sex (% male)</i>:</p>
<p>Treatment arm 1: 46.9%<br>
 Treatment arm 2: 47.9%</p>","<p>Treatment arm 1: oral heme iron combination (Hemofer, Aktiva Pharmaceuticals, Sweden); 1.2 mg heme iron from porcine blood + 8 mg Fe2+ as iron fumarate, taken twice daily over 3 months, with a placebo replacement for the second or third month of treatment. Total dose: 144 mg Heme + 960 mg Fe2+</p>
<p>Treatment arm 2: oral non-heme iron (Erco-fer Orion Pharmaceutica, Finland); 60 mg Fe2+ as iron fumarate, taken once daily over 3 months, with a placebo replacement for the second or third month of treatment. Total dose: 3600 mg Fe2+</p>",<p>Tolerance of Hemofer (primary outcome); serum ferritin; haemoglobin</p>,"<p>This trial was not prospectively registered.&nbsp;</p><p>This trial essentially used a placebo-controlled crossover within each arm. However, blinding did not occur between heme and non-heme iron groups as one group received two tablets, and the other one tablet per day. Side effect data were reported for heme, non-heme, and both placebo controlled periods combined. Because of the combined placeboc, we cannot use these data as heme vs placebo and non-heme vs placebo. We can only use parallel RCT data of heme vs non-heme (unblinded)</p>"
Gordeuk 1987a,1987,PUB,2917116,"<p><i>Type of study</i>: parallel, 3-arm randomised controlled trial</p>
<p><i>Country of study</i>: USA</p>
<p><i>Study setting</i>: multi-centre: 3 fixed site collection facilities</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 24<br>
 Treatment arm 2: 26<br>
 Treatment arm 3: 25</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 15<br>
 Treatment arm 2: 17<br>
 Treatment arm 3: 19</p>
<p><i>Follow-up time points</i>: day 56 after baseline donation</p>
<p><i>Hb threshold for deferral from donation</i>: not reported (Hct 38%)</p>
<p><i>Source of funding</i>: sponsored in part by Food and Drug Administration Orphan Drugs Development Grant</p>","<p>Female donors of child-bearing age with Hct ≥ 38% who had donated blood at least once previously</p>
<p><i>Mean age (years)</i>: not reported</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: oral carbonyl iron, 600 mg taken 3 times daily for 7 days. Total dose: 12,600 mg</p>
<p>Treatment arm 2: oral ferrous sulphate, 300 mg (60 mg Fe2+) taken 3 times daily for 7 days. Total dose: 1260 mg Fe2+</p>
<p>Treatment arm 3: oral placebo, taken 3 times daily for 7 days</p>",<p>Haemoglobin; mean corpuscular volume; free erythrocyte protoporphyrin; serum ferritin; serum iron; total iron binding capacity; transferrin saturation; adverse effects</p>,<p>This trial was not prospectively registered. No information on ethical approval for this study was provided.&nbsp;</p>
Gordeuk 1987b,1987,PUB,2917118,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: USA</p>
<p><i>Study setting</i>: blood donors to the Northern Ohio Red Cross</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 25<br>
 Treatment arm 2: 25</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 18<br>
 Treatment arm 2: 18</p>
<p><i>Follow-up time points</i>: weeks 1, 3, 6, 12, 16 after baseline</p>
<p><i>Hb threshold for deferral from donation</i>: not reported (Hct 38%)</p>
<p><i>Source of funding</i>: not reported</p>","<p>Menstruating, non-pregnant female donors with recent deferral from repeat blood donation due to haematocrit levels (Hct &lt; 38%)</p>
<p><i>Mean age (years)</i>: not reported</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: oral carbonyl iron, 600 mg taken 3 times daily for 21 days. Total dose: 3780 mg Fe2+</p>
<p>Treatment arm 2: oral ferrous sulphate iron, 300 mg (60 mg Fe2+) taken 3 times daily for 21 days. Total dose: 3780 mg Fe2+</p>",<p>Free erythrocyte protoporphyrin; serum ferritin; serum iron; total iron binding capacity; transferrin saturation; haemoglobin; mean corpuscular volume; white blood cell and platelet count; occult blood; side effects</p>,<p>This trial was not prospectively registered. The use of carbonyl iron in this study was approved by the Committee on Human Investigation at Cleveland Metropolitan General Hospital and by the Advisory Committee ofthe Northern Ohio Red Cross Blood Services. Informed written consent was obtained from all volunteers according to the guidelines of our institutions. Studies were conducted under the provisions of a claimed investigational exemption for a new drug (IND No 22389) of the Food and Drug Administration.</p>
Gordeuk 1990,1990,PUB,2917120,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: USA</p>
<p><i>Study setting</i>: multiple fixed site blood donor centres</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 50<br>
 Treatment arm 2: 49</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 40<br>
 Treatment arm 2: 36</p>
<p><i>Follow-up time points</i>: day 56 after baseline donation</p>
<p><i>Hb threshold for deferral from donation</i>: 125 g/L (Hct 38%)</p>
<p><i>Source of funding</i>: supported in part by Food and Drug Administration Orphan Drugs Development Grant and by National Heart, Lung and Blood Institute of the National Institutes of Health</p>","<p>Female repeat donors with Hb ≥ 125 g/L</p>
<p><i>Mean age (years)</i>: not reported (range 18 to 40)&nbsp;</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: oral carbonyl iron (100 mg elemental iron) taken daily for 56 days. Total dose: 5600 mg</p>
<p>Treatment arm 2: oral placebo, taken daily for 56 days</p>",<p>Haemoglobin; haematocrit; MCV; serum ferritin; free red cell protoporphyrin; serum iron; total iron binding capacity; transferrin saturation; net iron absorption; adverse effects</p>,<p>This trial was not prospectively registered. No information on ethical approval for this study was provided.&nbsp;</p>
Gybel-Brask 2018,,PUB,2917224,"<p><i>Type of study</i>: phase 3, randomised, double-blind, parallel, safety/efficacy study</p>
<p><i>Country of study</i>: Denmark</p>
<p><i>Study setting</i>: single centre</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 43<br>
 Treatment arm 2: 42</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 41 (safety); 41 (full analysis set)<br>
 Treatment arm 2: 41 (safety); 39 (full analysis set)</p>
<p><i>Follow-up time points</i>: first blood donation (visit 0), screening visit (visit 1), baseline or treatment visit (day 0 - visit 2), voluntary exercise visit (week 3, visit 2a), second blood donation (visit 3), third blood donation (visit 4, 12 weeks after second blood donation)</p>
<p><i>Hb threshold for deferral from donation</i>: 12.5 g/dL</p>
<p><i>Source of funding</i>: sponsored by Pharmacosmos A/S, Denmark</p>","<p>Female repeat donors with Hb ≥ 125 g/L</p>
<p><i>Mean age (years)</i>:</p>
<p>Treatment arm 1: 23.2 (SD 3.7) yrs</p>
<p>Treatment arm 2: 24.9 (SD 6.0) yrs</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: intravenous iron oligosaccharide complex: Monofer® (1000 mg administered over 15 minutes)</p>
<p>Treatment arm 2: intravenous placebo infusion (administered over 15 minutes)</p>",<p>Change in Hb concentration from baseline to right before the third blood donation; adverse events (primary outcomes)</p><p>Secondary outcomes:</p><p>1. Change in Hb concentrations from baseline to right before second donation<br>2. Ability to donate (Number of subjects who cannot complete three donations due to low Hb)<br>3. Change in plasma iron at 12 weeks<br>4. Change in fatigue symptoms at 12 weeks<br>5. Change in exercise tolerance from baseline to 3 weeks after baseline measured by a two-step test on bike<br>6. Number of adverse drug reactions at up to six months<br>7. Change in p-ferritin concentrations at 12 weeks<br>8. Change in transferrin saturation concentrations at 12 weeks<br>9 Change in reticulocyte count at 12 weeks<br>5. Change in transferrin saturation concentrations from baseline to 12 weeks after second blood donation<br>10. Change in haematology parameters<br>11. Change in restless leg syndrome</p>,<p>This study was prospectively registered (NCT01895231; EUCTR2012-001529-28-DK)</p>
Hod 2022 (DIDS),2022,PUB,28776651,<p>Double-blind parallel RCT</p>,"<ul><li data-list-item-id=""e3013935d5bd9f02e0790464dcc12ecd8"">Regular donors</li><li data-list-item-id=""ea04c32f8bd6d44f0bf1ed7f5d89d7ad6"">Hb to donate and &nbsp;Hct &gt;38% (F) 39% (M) </li><li data-list-item-id=""ed0199ce6701889d2775a68d1f28231b0"">31.6% male</li></ul>","<p><b>Intervention: N = 39</b></p><p>Iron dextran1000 mg (INFeD) or ferric carboxymaltose, single infusion over 40 mins 42 days after donation</p><p><b>Comparator: N = 40</b></p><p>IV placebo</p>","<p>Primary outcome is change in 24-hour post-transfusion recovery from the first to the second donation</p><p><b>Outcomes reported:</b></p><p>Hb, serum ferritin, transferrin saturation, SF36, Beck depression score (6 months)</p>","<p>Trial registration (NCT02889133) first posted September 5, 2016</p><p>Funded by Columbia University</p>"
Jacobs 1993,1993,PUB,2917123,"<p><i>Type of study</i>: parallel, 3-arm randomised controlled trial</p>
<p><i>Country of study</i>: South Africa</p>
<p><i>Study setting</i>: single hospital donor centre</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 51<br>
 Treatment arm 2: 53<br>
 Treatment arm 3: 55</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 45<br>
 Treatment arm 2: 40<br>
 Treatment arm 3: 45</p>
<p><i>Follow-up time points</i>: non-donation visits at weeks 1, 2, 4, 8, 12 after baseline</p>
<p><i>Hb threshold for deferral from donation</i>: 135 g/L (male) or 125 g/L (female)</p>
<p><i>Source of funding</i>: supported by the University of Cape Town Leukaemia Centre and Staff Research (Cancer, Becker and Foote) Fund, the Gwendoline Moore Trust, the National Cancer Association, the Medical Research Council and the Michael Chanani, Kaliski and MA Richardson bequests</p>","<p>Deferred donors who failed CuSO4 haemoglobin screening test</p>
<p><i>Mean age (years)</i>: combined groups: 32 (range 17 to 64)</p>
<p><i>Sex (% male)</i>:</p>
<p>Treatment arm 1: 9.8%<br>
 Treatment arm 2: 9.4%<br>
 Treatment arm 3: 21.8%</p>","<p>Treatment arm 1: oral ferrous sulphate (Hausman Laboratories) 60 mg taken twice daily in the fasting state for 12 weeks. Total dose: 10,080 mg</p>
<p>Treatment arm 2: oral iron (Hausman Laboratories); 100 mg chewable ferric polymaltose taken daily with breakfast for 12 weeks. Total dose: 8400 mg</p>
<p>Treatment arm 3: oral iron (Hausman Laboratories); 100 mg chewable ferric polymaltose taken twice daily with breakfast and supper for 12 weeks. Total dose: 16,800 mg</p>",<p>Full blood count; serum iron; total iron binding capacity; serum ferritin; adverse effects; compliance</p>,<p>This trial was not prospectively registered.Trial methods were approved by the University of Cape Town and Groote Schuur Hospital Ethics and Research Committee.</p>
Jacobs 2000,2000,PUB,2917125,"<p><i>Type of study</i>: parallel, 4-arm randomised controlled trial</p>
<p><i>Country of study</i>: South Africa</p>
<p><i>Study setting</i>: single hospital donor centre</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 40<br>
 Treatment arm 2: 35<br>
 Treatment arm 3: 45<br>
 Treatment arm 4: 47</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 24<br>
 Treatment arm 2: 23<br>
 Treatment arm 3: 24<br>
 Treatment arm 4: 20</p>
<p><i>Follow-up time points</i>: non-donation visits at weeks 4, 8, 12 after baseline</p>
<p><i>Hb threshold for deferral from donation</i>: not reported</p>
<p><i>Source of funding</i>: trial material supplied by Vifor International; data management and statistical analysis carried out by Clindata International</p>","<p>Regular donors, deferred by CuSO4 haemoglobin test</p>
<p><i>Mean age (years)</i>: not reported</p>
<p><i>Sex (% male)</i>: not reported</p>","<p>Treatment arm 1: oral iron polymaltose complex (IPC) (Vifor International); 100 mg + 1.8 mol/L glycerophosphate (GlyP) taken twice daily for 12 weeks. Total dose: 16,800 mg IPC + 302.4 mol/L GlyP</p>
<p>Treatment arm 2: oral iron polymaltose complex (IPC) (Vifor International); 100 mg + 0.9 mol/L glycerophosphate (GlyP) taken twice daily for 12 weeks. Total dose: 16,800 mg IPC + 151.2 mol/L GlyP</p>
<p>Treatment arm 3: oral iron polymaltose complex (IPC) (Vifor International); 100 mg taken twice daily for 12 weeks. Total dose: 16,800 mg IPC</p>
<p>Treatment arm 4: oral ferrous sulphate taken twice daily at an ""equivalent dose"".&nbsp;Total dose: not reported</p>",<p>Haemoglobin; serum iron; transferrin saturation; serum ferritin; red cell ferritin</p>,"<p>This study performed intention-to-treat analysis.</p>
<p>This trial was not prospectively registered. The protocol for this trial was approved by the Town and Groote Schuur Hospital Ethics and Research Committees.</p>"
Kiss 2015 (REDS-III HEIRS),2015,PUB,2917207,"<p><i>Type of study</i>: parallel, 4-arm randomised controlled trial (further randomised to male/female strata)</p>
<p><i>Country of study</i>: USA</p>
<p><i>Study setting</i>: not reported</p>
<p><i>Number of participants randomised (male/female arms combined): </i></p>
<p>Treatment arm 1 (low ferritin/iron): 51</p>
<p>Treatment arm 2 (low ferritin/no iron): 50</p>
<p>Treatment arm 3 (high ferritin/iron): 60</p>
<p>Treatment arm 4 (high ferritin/no iron): 54</p>
<p><i>Number of participants analysed</i>: <br>
 Treatment arm 4: 49 (20 male, 29 female)</p>
<p><i>Follow-up time points</i>: 3-8 days and 2, 4, 8, 12, 16, 24 weeks after donation</p>
<p><i>Hb threshold for deferral from donation</i>: 125 g/L</p>
<p><i>Source of funding</i>: National Heart, Lung and Blood Institute</p>","<p>Repeat donors (more than 1 donation in past year)</p>
<p><i>Mean age (years)</i>:</p>
<p>Treatment arm 1: 47.5 (SD 15.5) yrs</p>
<p>Treatment arm 2: 45.9 (SD 15.7) yrs</p>
<p>Treament arm 3: 49.3 (SD 14.6) yrs</p>
<p>Treatment arm 4: 48.1 (SD 14.6) yrs</p>
<p><i>Sex (% male)</i>:</p>
<p>Treatment arm 1: 35.3%</p>
<p>Treament arm 2: 38.0%</p>
<p>Treatment arm 3: 36.7%</p>
<p>Treatment arm 4: 37.0%</p>","<p>Treatment arm 1: oral ferrous gluconate, 325 mg (37.5 mg elemental iron) taken once daily for 24 weeks in patients with low serum ferritin (≤26 ng/mL)</p><p>Treatment arm 2: no iron intervention, standard care only in patients with low serum ferritin (≤26 ng/mL)</p><p>Treatment arm 3: oral ferrous gluconate, 325 mg (37.5 mg elemental iron) taken once daily for 24 weeks in patients with high serum ferritin (&gt;26 ng/mL)</p><p>Treatment arm 4: no iron intervention, standard care only in patients with high serum ferritin (&gt;26 ng/mL)</p>","<p>Hb recovery time (80% recovery of iron loss at donation) in iron depleted, iron supplemented donors versus unsupplemented donors (primary outcome); Hb recovery time in (i) unsupplemented iron depleted donors and iron replete donors, (ii) iron replete iron supplemented donors compared to unsupplemented iron replete controls; effect of gender and age on Hb recovery time; differences in the recovery of iron stores based on gender and older age with- and without iron supplementation; duration of daily 38mg iron supplementation required to restore Hb and iron to pre-donation baseline levels; side effects of daily continuous iron supplementation.</p>",<p>High and low serum ferritin groups were combined for analyses due to the majority of outcomes being reported in these groups combined.</p><p>This study was prospectively registered (NCT01555060).</p><p>Contact: Ritchard.Cable@redcross.org; jkiss@itxm.org; alan.mast@bcw.edu</p>
Landucci 1987,1987,PUB,2917127,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: Italy</p>
<p><i>Study setting</i>: not reported</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 20<br>
 Treatment arm 2: 20</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 20<br>
 Treatment arm 2: 20</p>
<p><i>Follow-up time points</i>: mean 30 (SD 2.2, range 23 to 33) days after baseline</p>
<p><i>Hb threshold for deferral from donation</i>: not reported</p>
<p><i>Source of funding</i>: not reported</p>","<p>Iron-depleted blood donors (serum ferritin &lt; 30 ng/100 mL)</p>
<p><i>Mean age (years)</i>: both groups combined: mean 36.2 (SD 7.9, range 18 to 56)</p>
<p><i>Sex (% male)</i>: 27.5%</p>","<p>Treatment arm 1: oral iron protein succinylate (80 mg Fe3+) (Legofer, Farmades SpA, Rome), taken daily for a mean duration across both treatment groups of 30 (SD 2.2) days. Total dose: 2400 mg Fe3+</p>
<p>Treatment arm 2: oral iron sulphate (105 mg Fe2+) taken daily for a mean duration across both treatment groups of 30 (SD 2.2) days. Total dose: 3150 mg Fe2+</p>","<p>Red blood cell count; haemoglobin; haematocrit; mean corpuscular volume, mean corpuscular haemoglobin content; mean corpuscular haemoglobin concentration; serum iron; serum transferrin; serum ferritin</p>",<p>—</p>
Lieden 1975,1975,PUB,2917129,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: Sweden</p>
<p><i>Study setting</i>: single</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 10<br>
 Treatment arm 2: 10</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 10<br>
 Treatment arm 2: 7</p>
<p><i>Follow-up time points</i>: mean 36.4 (20 mg) or 24.5 (100 mg) days after third donation after baseline; mean 20.4 (20 mg) or 18.6 (100 mg) days after fifth donation after baseline. Mean interval 7.5 weeks between donations</p>
<p><i>Hb threshold for deferral from donation</i>: not reported</p>
<p><i>Source of funding</i>: supported by a grant from AB Astra, Sodertalje</p>","<p>Young, male, first-time donor conscripts</p>
<p><i>Mean age (years)</i>: not reported</p>
<p><i>Sex (% male)</i>: 100%</p>","<p>Treatment arm 1: oral ferrous carbonate (AB Astra), 100 mg stabilised with sugar in pellet form, taken daily for 1 year. Total dose: 36,500 mg</p>
<p>Treatment arm 2: oral ferrous carbonate (AB Astra), 20 mg stabilised with sugar in pellet form, taken daily for 1 year. Total dose: 7300 mg</p>",<p>Packed cell volume; serum iron; total iron binding capacity; stainable bone marrow iron; iron absorption; faecal iron</p>,<p>—</p>
Lindholm 1981,1981,PUB,2917132,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: Sweden</p>
<p><i>Study setting</i>: single hospital blood donor centre</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 250<br>
 Treatment arm 2: 250</p>
<p><i>Number of participants analysed (at test 2)</i>:<br>
 Treatment arm 1: 219<br>
 Treatment arm 2: 210</p>
<p><i>Follow-up time points</i>: after first, second and third donations. Median inter-donation interval of between 51 and 75 days</p>
<p><i>Hb threshold for deferral from donation</i>: 125 g/L</p>
<p><i>Source of funding</i>: not reported</p>","<p>Previous donors (97.2%) with no iron deficiency anaemia during recent years</p>
<p><i>Mean age (years)</i>: not reported</p>
<p><i>Sex (% male)</i>: 100%</p>","<p>Treatment arm 1: oral ferrous sulphate (Ferrosulfat ACO, Orion Pharmaceutica, Finland); 100 mg taken daily for 30 days; repeated as second donation. Total dose: 3000 mg per donation</p>
<p>Treatment arm 2: oral iron (Erco-Fer, Orion Pharmaceutica, Finland); 60 mg taken daily for 30 days; repeated as second donation. Total dose: 1800 mg per donation</p>",<p>Side effects and haemoglobin concentration (primary outcome)</p>,<p>—</p>
Linpisarn 1986,1986,PUB,2917134,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: Thailand</p>
<p><i>Study setting</i>: single hospital blood transfusion unit</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 72<br>
 Treatment arm 2: 69</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 47<br>
 Treatment arm 2: 51</p>
<p><i>Follow-up time points</i>: approximately 3 months after baseline; mean 97.1 (SD 10.8) days (iron supplementation group); mean 95.5 (SD 9.1) days (placebo group)</p>
<p><i>Hb threshold for deferral from donation</i>: 120 g/L</p>
<p><i>Source of funding</i>: supported by a grant from the Royal Thai Government given to the Research Institute for Health Sciences</p>","<p>Male volunteer and paid blood donors who had previously given blood consecutively 4 times or more, each with an interval of 6 months or less. Body weight &gt; 50 kg; haemoglobin &gt; 12 gm% from CuSO4 test</p>
<p><i>Mean age (years)</i>: not reported</p>
<p><i>Sex (% male)</i>: 100%</p>","<p>Treatment arm 1: oral elemental iron, 56 mg taken daily for 90 days.&nbsp;Total dose: 5040 mg</p>
<p>Treatment arm 2: oral placebo taken daily for 90 days</p>",<p>Haemoglobin; serum iron; total iron binding capacity; serum ferritin</p>,<p>—</p>
Macher 2016 (IronWoMan),2016,PUB,2917228,"<p><i>Type of study</i>: Phase 3, open-label, parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: Austria</p>
<p><i>Study setting</i>: mobile and stationary blood collection units</p>
<p><i>Number of participants randomised</i>: 176</p>
<p>Treatment arm 1: 90<br>
 Treatment arm 2: 86</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 86<br>
 Treatment arm 2: 86</p>
<p><i>Follow-up time points</i>: visit 0 (randomisation and baseline measures 4-6 weeks after donation); visit 1 (8-12 weeks after visit 0)</p>
<p><i>Hb threshold for deferral from donation</i>: 135 g/L</p>
<p><i>Source of funding</i>: funded by the Medical University of Graz and Vifor Pharma (financial support to two authors) and received the oral study drug from GL Pharma</p>","<p>Blood donors:</p>
<ul>
 <li>Age ≥ 18 years and ≤ 65 years</li>
 <li>Iron deficient (ferritin ≤ 30 ng/mL at screening)</li>
 <li>Fulfilment of the Austrian criteria for blood donation</li>
</ul>
<p><i>Mean age (years)</i>: 38 (SD 14) years</p>
<p><i>Sex (% male)</i>: 21.6%</p>","<p>Treatment arm 1: oral iron fumarate (Ferretab) in a corresponding dose of 10 g (assuming an absorption of 10%, 100 capsules at 100 mg iron each) taken over 8 to 12 weeks</p>
<p>Treatment arm 2: high-dose intravenous iron (ferric carboxymaltose, 1000 mg)</p>","<p><i>Primary outcome: </i></p>
<p>Transferrin saturation (%) at visit 1</p>
<p><i>Secondary outcomes:</i></p>
<p>Other parameters of iron metabolism, RBC count including percentage of participants with a normal haemoglobin at visit 1 and further parameters; symptoms including those of restless leg syndrome, quality of life, fatigue; incidence and severity of adverse events, tolerance and compliance</p>",<p>This study performed intention-to-treat analysis</p>
