review_group	review_pdf	review_id	analysis_id	subset	comparison	comparison_label_clean	comparison_label_canonical	comparison_arm_1	comparison_arm_2	comparison_arm_1_canonical	comparison_arm_2_canonical	comparison_removed_shared_arm_context	outcome	effect_measure	data_type	cochrane_method_detected	cochrane_model_detected	calculation_method	calculation_model	calculation_scale	k_total_rows	k_estimable_rows	k_used	k_with_pmcid_used	k_without_pmcid_used	excluded_rows	reproduced_effect	reproduced_ci_lower	reproduced_ci_upper	reported_effect	reported_ci_lower	reported_ci_upper	effect_abs_diff	ci_lower_abs_diff	ci_upper_abs_diff	ci_iou	reported_match_status	tau2	Q	df	I2	notes
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.6	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Postoperative placement of nasogastric tube	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	3	2	2	0	2	1	0.462216	0.135813	1.573064	0.46	0.14	1.55	0.002216	0.004187	0.023064	0.98104	ci_iou_high	0	0.024166	1	0	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. Excluded non-computable rows: Balayla 2015: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.6	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Postoperative placement of nasogastric tube	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	3	2	0	0	0	1	.	.	.	0.46	0.14	1.55	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset. Excluded non-computable rows: Balayla 2015: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.7	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Time to the presence of bowel sounds (random-effects model)	Mean Difference	continuous	IV	Random	CI-derived inverse-variance	random	linear	3	3	3	0	3	0	-0.20105	-0.460747	0.058647	-0.2	-0.46	0.06	0.00105	0.000747	0.001353	0.995969	ci_iou_full	0.036683	6.891862	2	70.980267	.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.7	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Time to the presence of bowel sounds (random-effects model)	Mean Difference	continuous	IV	Random	CI-derived inverse-variance	random	linear	3	3	0	0	0	0	.	.	.	-0.2	-0.46	0.06	.	.	.	.	not_reproducible	.	.	.	.	PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.8	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Time to the first passage of flatus	Mean Difference	continuous	IV	Fixed	CI-derived inverse-variance	fixed	linear	5	5	5	0	5	0	-0.107125	-0.231785	0.017535	-0.11	-0.23	0.02	0.002875	0.001785	0.002465	0.983122	ci_iou_high	0	4.39787	4	9.046872	.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.8	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Time to the first passage of flatus	Mean Difference	continuous	IV	Fixed	CI-derived inverse-variance	fixed	linear	5	5	0	0	0	0	.	.	.	-0.11	-0.23	0.02	.	.	.	.	not_reproducible	.	.	.	.	PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.9	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Time to the first passage of stool	Mean Difference	continuous	IV	Fixed	CI-derived inverse-variance	fixed	linear	4	4	4	0	4	0	-0.181468	-0.325032	-0.037905	-0.18	-0.33	-0.04	0.001468	0.004968	0.002095	0.975819	ci_iou_high	0	0.405695	3	0	.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.9	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Time to the first passage of stool	Mean Difference	continuous	IV	Fixed	CI-derived inverse-variance	fixed	linear	4	4	0	0	0	0	.	.	.	-0.18	-0.33	-0.04	.	.	.	.	not_reproducible	.	.	.	.	PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.10	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Time to the first solid diet (random-effects model)	Mean Difference	continuous	IV	Random	CI-derived inverse-variance	random	linear	3	3	3	0	3	0	-1.099564	-1.789639	-0.409489	-1.1	-1.79	-0.41	0.000436	0.000361	0.000511	0.999369	ci_iou_full	0.353019	59.967795	2	96.664877	.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.10	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Time to the first solid diet (random-effects model)	Mean Difference	continuous	IV	Random	CI-derived inverse-variance	random	linear	3	3	0	0	0	0	.	.	.	-1.1	-1.79	-0.41	.	.	.	.	not_reproducible	.	.	.	.	PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.11	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Hospital stay (random-effects model)	Mean Difference	continuous	IV	Random	CI-derived inverse-variance	random	linear	5	5	5	0	5	0	-0.659082	-1.172473	-0.14569	-0.66	-1.17	-0.15	0.000918	0.002473	0.00431	0.993394	ci_iou_full	0.221196	17.585603	4	77.254121	.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.11	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Hospital stay (random-effects model)	Mean Difference	continuous	IV	Random	CI-derived inverse-variance	random	linear	5	5	0	0	0	0	.	.	.	-0.66	-1.17	-0.15	.	.	.	.	not_reproducible	.	.	.	.	PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.12	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Febrile morbidity	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	3	3	3	0	3	0	0.953305	0.753357	1.206323	0.96	0.75	1.22	0.006695	0.003357	0.013677	0.963759	ci_iou_high	0	3.777386	2	47.053327	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.12	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Febrile morbidity	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	3	3	0	0	0	0	.	.	.	0.96	0.75	1.22	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.13	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Infectious complications	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	2	2	2	0	2	0	0.193588	0.053438	0.701307	0.2	0.05	0.73	0.006412	0.003438	0.028693	0.952748	ci_iou_high	0	0.009816	1	0	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.13	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Infectious complications	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	2	2	0	0	0	0	.	.	.	0.2	0.05	0.73	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.14	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Wound complications	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	4	4	4	0	4	0	0.894435	0.540443	1.480292	0.82	0.5	1.35	0.074435	0.040443	0.130292	0.825833	ci_iou_high	0	2.667875	3	0	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.14	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Wound complications	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	4	4	0	0	0	0	.	.	.	0.82	0.5	1.35	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.15	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Pneumonia	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	3	3	3	0	3	0	0.387751	0.071777	2.094682	0.35	0.07	1.73	0.037751	0.001777	0.364682	0.819004	ci_iou_high	0	0.821388	2	0	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.15	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Pneumonia	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	3	3	0	0	0	0	.	.	.	0.35	0.07	1.73	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.17	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Satisfaction	Mean Difference	continuous	IV	Fixed	CI-derived inverse-variance	fixed	linear	1	0	0	0	0	1	.	.	.	11.1	6.68	15.52	.	.	.	.	not_reproducible	.	.	.	.	No estimable study rows in this subset. Excluded non-computable rows: row 57: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.17	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Satisfaction	Mean Difference	continuous	IV	Fixed	CI-derived inverse-variance	fixed	linear	1	0	0	0	0	1	.	.	.	11.1	6.68	15.52	.	.	.	.	not_reproducible	.	.	.	.	No estimable study rows in this subset. Excluded non-computable rows: row 57: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	CD007895_decongestants_bp	1.1	all_studies	Adrenergic agonist oral decongestants (AAOD) versus placebo	Adrenergic agonist oral decongestants (AAOD) versus placebo	adrenergic agonist oral decongestants aaod versus placebo	Adrenergic agonist oral decongestants (AAOD)	placebo	adrenergic agonist oral decongestants aaod	placebo	.	Systolic blood pressure, measured as change-from-baseline	Mean Difference	continuous	IV	Fixed	CI-derived inverse-variance	fixed	linear	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	No estimable study rows in this subset. Excluded non-computable rows: row 58: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	CD007895_decongestants_bp	1.1	pmcid_only	Adrenergic agonist oral decongestants (AAOD) versus placebo	Adrenergic agonist oral decongestants (AAOD) versus placebo	adrenergic agonist oral decongestants aaod versus placebo	Adrenergic agonist oral decongestants (AAOD)	placebo	adrenergic agonist oral decongestants aaod	placebo	.	Systolic blood pressure, measured as change-from-baseline	Mean Difference	continuous	IV	Fixed	CI-derived inverse-variance	fixed	linear	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	No estimable study rows in this subset. Excluded non-computable rows: row 58: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	CD007895_decongestants_bp	1.2	all_studies	Adrenergic agonist oral decongestants (AAOD) versus placebo	Adrenergic agonist oral decongestants (AAOD) versus placebo	adrenergic agonist oral decongestants aaod versus placebo	Adrenergic agonist oral decongestants (AAOD)	placebo	adrenergic agonist oral decongestants aaod	placebo	.	Diastolic blood pressure, measured as change-from-baseline	Mean Difference	continuous	IV	Fixed	CI-derived inverse-variance	fixed	linear	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	not_reproducible	.	.	.	.	No estimable study rows in this subset. Excluded non-computable rows: row 59: missing effect/CI
