review_group	review_pdf	review_id	study_label	report_index	candidate_type	candidate_text	query_text	matched_pmids	pmcids	n_pmids	n_pmcids	has_pubmed	has_pmc	lookup_methods	lookup_errors	pubmed_titles	reference_excerpt
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Bollaert 1998	1	explicit_pmid	9559600	9559600	9559600	.	1	0	yes	no	direct_pubmed_link	.	.	Bollaert PE, Charpentier C, Levy B, Debouverie M, Audibert G, Larcan A. Reversal of late septic shock with supraphysiologic doses of hydrocortisone. Critical Care Medicine 1998;26(4):645-50. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Bone 1987	1	explicit_pmid	3306374	3306374	3306374	.	1	0	yes	no	direct_pubmed_link	.	.	Bone RG, Fisher CJ, Clemmer TP, Slotman GJ, Metz CA, Balk RA. A controlled clinical trial of high-dose methylprednisolone in the treatment of severe sepsis and septic shock. New England Journal of Medicine 1987;317(11):653-8. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Briegel 1999	1	explicit_pmid	10321661	10321661	10321661	.	1	0	yes	no	direct_pubmed_link	.	.	Briegel J, Forst H, Haller M, Schelling G, Kilger E, Kuprat G, et al. Stress doses of hydrocortisone reverse hyperdynamic septic shock: a prospective, randomized, double-blind, single-center study. Critical Care Medicine 1999;27(4):723-32. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Chang 2020	1	explicit_pmid	32243943	32243943	32243943	.	1	0	yes	no	direct_pubmed_link	.	.	Chang P, Liao Y, Guan J, Guo Y, Zhao M, Hu J, et al. Combined treatment with hydrocortisone, vitamin c, and thiamine for sepsis and septic shock (HYVCTTSSS): a randomized controlled clinical trial. Chest 2020;158:174-82. [DOI: 10.1016/j.chest.2020.02.065] - DOI - PubMed NCT03258684. Hydrocortisone, vitamin C, and thiamine for the treatment of sepsis and septic shock (HYVCTTSSS) [Hydrocortisone, vitamin C, and thiamine for the treatment of sepsis and septic shock: a prospective study]. https://clinicaltrials.gov/ct2/show/NCT03258684 First received 23 August 2017.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Chang 2020	2	nct_id	NCT03258684	NCT03258684	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	Chang P, Liao Y, Guan J, Guo Y, Zhao M, Hu J, et al. Combined treatment with hydrocortisone, vitamin c, and thiamine for sepsis and septic shock (HYVCTTSSS): a randomized controlled clinical trial. Chest 2020;158:174-82. [DOI: 10.1016/j.chest.2020.02.065] - DOI - PubMed NCT03258684. Hydrocortisone, vitamin C, and thiamine for the treatment of sepsis and septic shock (HYVCTTSSS) [Hydrocortisone, vitamin C, and thiamine for the treatment of sepsis and septic shock: a prospective study]. https://clinicaltrials.gov/ct2/show/NCT03258684 First received 23 August 2017.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Chawla 1999	1	title	Hydrocortisone reverses refractory septic shock	"""Hydrocortisone reverses refractory septic shock""[Title]"	.	.	0	0	no	no	.	title_search_no_match	.	Chawla K, Kupfer Y, Tessler S. Hydrocortisone reverses refractory septic shock. Critical Care Medicine 1999;27(1):A33.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Cicarelli 2007	1	explicit_pmid	17992396	17992396	17992396	PMC11020550	1	1	yes	yes	direct_pubmed_link	.	.	Cicarelli DD, Vieira JE, Benseñor FE. Early dexamethasone treatment for septic shock patients: a prospective randomized clinical trial. São Paulo Medical Journal 2007;125(4):237-41. [PMID: ] - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Confalonieri 2005	1	explicit_pmid	15557131	15557131	15557131	.	1	0	yes	no	direct_pubmed_link	.	.	Confalonieri M, Urbino R, Potena A, Piatella M, Parigi P, Giacomo P, et al. Hydrocortisone infusion for severe community acquired pneumonia: a preliminary randomized study. American Journal of Respiratory and Critical Care Medicine 2005;171(3):242-8. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Corral‐Gudino 2021	1	explicit_pmid	33534047	33534047	33534047	PMC7854876	1	1	yes	yes	direct_pubmed_link	.	.	Corral-Gudino L, Bahamonde A, Arnaiz-Revillas F, Gómez-Barquero J, Abadía-Otero J, García-Ibarbia C, et al. Methylprednisolone in adults hospitalized with COVID-19 pneumonia: an open-label randomized trial (GLUCOCOVID). Wiener Klinische Wochenschrift 2021;133:303-11. [DOI: 10.1007/s00508-020-01805-8] - DOI - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	CSG 1963	1	doi	10.1001/jama.1963.63700060029012	"""10.1001/jama.1963.63700060029012""[AID]"	.	.	0	0	no	no	.	title_search_no_match	.	Cooperative Study Group. The effectiveness of hydrocortisone in the management of severe infections. JAMA 1963;183(6):462-5. [DOI: 10.1001/jama.1963.63700060029012] - DOI
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Dequin 2020	1	explicit_pmid	32876689	32876689	32876689	PMC7489432	1	1	yes	yes	direct_pubmed_link	.	.	Dequin PF, Heming N, Meziani F, Plantefève G, Voiriot G, Badié J, et al. Effect of hydrocortisone on 21-day mortality or respiratory support among critically ill patients with COVID-19: a randomized clinical trial. JAMA 2020;324(13):1298‐306. [DOI: 10.1001/jama.2020.16761] - DOI - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Dequin 2023	1	explicit_pmid	36942789	36942789	36942789	.	1	0	yes	no	direct_pubmed_link	.	.	Dequin P-F, Meziani F, Quenot J-P, Kamel T, Ricard J-D, Badie J, et al. Hydrocortisone in severe community-acquired pneumonia. New England Journal of Medicine 2023;388(21):1931‐41. [DOI: 10.1056/NEJMoa2215145] - DOI - PubMed NCT02517489. Community-Acquired Pneumonia: Evaluation of Corticosteroids (CAPE COD). https://clinicaltrials.gov/ct2/show/NCT02517489 First received 7 August 2015.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Dequin 2023	2	nct_id	NCT02517489	NCT02517489	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	Dequin P-F, Meziani F, Quenot J-P, Kamel T, Ricard J-D, Badie J, et al. Hydrocortisone in severe community-acquired pneumonia. New England Journal of Medicine 2023;388(21):1931‐41. [DOI: 10.1056/NEJMoa2215145] - DOI - PubMed NCT02517489. Community-Acquired Pneumonia: Evaluation of Corticosteroids (CAPE COD). https://clinicaltrials.gov/ct2/show/NCT02517489 First received 7 August 2015.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Doluee 2018	1	doi	10.15171/jept.2017.25	"""10.15171/jept.2017.25""[AID]"	.	.	0	0	no	no	.	title_search_no_match	.	Talebi Doluee M, Salehi M, Mahmoudi Gharaee A, Jalalyazdi M, Reihani H. The effect of physiologic dose of intravenous hydrocortisone in patients with refractory septic shock: a randomized control trial. Journal of Emergency Practice and Trauma 2018;4:29-33. [DOI: 10.15171/JEPT.2017.25] - DOI
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	El Ghamrawy 2006	1	title	Effects of low dose hydrocortisone in ICU patients with severe community acquired pneumonia	"""Effects of low dose hydrocortisone in ICU patients with severe community acquired pneumonia""[Title]"	.	.	0	0	no	no	.	title_search_no_match	.	El-Ghamraway AH, Shokeir MH, Esmat AA. Effects of low dose hydrocortisone in ICU patients with severe community acquired pneumonia. Egyptian Journal of Chest 2006;55:91-9.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	El‐Nawawy 2017	1	explicit_pmid	27798546	27798546	27798546	.	1	0	yes	no	direct_pubmed_link	.	.	El-Nawawy A, Khater D, Omar H, Wali Y. Evaluation of early corticosteroid therapy in management of paediatric septic shock in paediatric intensive care patients: a randomized clinical study. Pediatric Infectious Disease Journal 2017;36(2):155-9. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Fernández‐Serrano 2011	1	explicit_pmid	21406101	21406101	21406101	PMC3219361	1	1	yes	yes	direct_pubmed_link	.	.	Fernández-Serrano S, Dorca J, Garcia-Vidal C, Fernández-Sabé N, Carratalà J, Fernández-Agüera A, et al. Effect of corticosteroids on the clinical course of community-acquired pneumonia: a randomized controlled trial. Critical Care 2011;15(2):R96. [PMID: ] - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Ghanei 2021	1	explicit_pmid	34526033	34526033	34526033	PMC8441037	1	1	yes	yes	direct_pubmed_link	.	.	Ghanei M, Solaymani-Dodaran M, Qazvini A, Ghazale AH, Setarehdan SA, Saadat SH, et al. The efficacy of corticosteroids therapy in patients with moderate to severe SARS-Cov-2 infection: a multicenter, randomized, open-label trial. Respiratory Research 2021;22(1):245. [DOI: 10.1186/s12931-021-01833-6] - DOI - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Gordon 2014	1	explicit_pmid	24557425	24557425	24557425	.	1	0	yes	no	direct_pubmed_link	.	.	Gordon AC, Mason AJ, Perkins GD, Stotz M, Terblanche M, Ashby D, et al. The interaction of vasopressin and corticosteroids in septic shock: a pilot randomized controlled trial. Critical Care Medicine 2014;42(6):1325-33. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Gordon 2016	1	explicit_pmid	27483065	27483065	27483065	.	1	0	yes	no	direct_pubmed_link	.	.	Gordon AC, Mason AJ, Thirunavukkarasu N, Perkins GD, Cecconi M, Cepkova M, et al. Effect of early vasopressin vs norepinephrine on kidney failure in patients with septic shock: the VANISH randomized clinical trial. JAMA 2016;316(5):509-18. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Horby 2021	1	explicit_pmid	32678530	32678530	32678530	PMC7383595	1	1	yes	yes	direct_pubmed_link	.	.	Horby P, Lim WS, Emberson JR, Mafham M, Bell JL, Linsell L, et al. Dexamethasone in hospitalized patients with Covid-19. New England Journal of Medicine 2021;384(8):693‐704. [DOI: 10.1056/NEJMoa2021436] - DOI - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Hu 2009	1	explicit_pmid	19751560	19751560	19751560	.	1	0	yes	no	direct_pubmed_link	.	.	Hu B, Li JG, Liang H, Zhou Q, Yu Z, Li L, et al. The effect of low-dose hydrocortisone on requirement of norepinephrine and lactate clearance in patients with refractory septic shock. Zhongguo Wei Zhong Bing Ji Jiu Yi Xue 2009;21(9):529-31. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Huang 2014	1	explicit_pmid	24598293	24598293	24598293	.	1	0	yes	no	direct_pubmed_link	.	.	Huang R, Zhang Z, Xu M, Chang X, Qiao Q, Wang L, et al. Effect of Sini decoction on function of hypothalamic-pituitary-adrenal axis in patients with sepsis. Zhonghua Wei Zhong Bing Ji Jiu Yi Xue 2014;26(3):184-7. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Huh 2007	1	title	Effect of low doses of hydrocortisone in patient with septic shock and relative adrenal insufficiency: 3 days versus 7 days treatment	"""Effect of low doses of hydrocortisone in patient with septic shock and relative adrenal insufficiency: 3 days versus 7 days treatment""[Title]"	.	.	0	0	no	no	.	title_search_no_match	.	Huh JW, Lim CM, Koh Y, Hong SB. Effect of low doses of hydrocortisone in patient with septic shock and relative adrenal insufficiency: 3 days versus 7 days treatment. Critical Care Medicine 2006;34(12 Suppl):A101.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Hyvernat 2016	1	explicit_pmid	27405061	27405061	27405061	.	1	0	yes	no	direct_pubmed_link	.	.	Hyvernat H, Barel R, Gentilhomme A, Césari-Giordani JF, Freche A, Kaidomar M, et al. Effects of increasing hydrocortisone to 300 mg per day in the treatment of septic shock: a pilot study. Shock 2016;46:498-505. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Iglesias 2020	1	explicit_pmid	32194058	32194058	32194058	.	1	0	yes	no	direct_pubmed_link	.	.	Iglesias J, Vassallo AV, Patel VV, Sullivan JB, Cavanaugh J, Elbaga Y. Outcomes of metabolic resuscitation using ascorbic acid, thiamine, and glucocorticoids in the early treatment of sepsis: the ORANGES trial. Chest 2020;158(1):164‐73. [DOI: 10.1016/j.chest.2020.02.049] - DOI - PubMed NCT03422159. Metabolic resuscitation using ascorbic acid, thiamine, and glucocorticoids in sepsis (ORANGES) [Outcomes of metabolic resuscitation using ascorbic acid, thiamine, and glucocorticoids in the early treatment of sepsis]. https://clinicaltrials.gov/ct2/show/NCT03422159 (first received 5 February 2018).
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Iglesias 2020	2	explicit_pmid	32194058	32194058	32194058	.	1	0	yes	no	direct_pubmed_link	.	.	Iglesias J, Vassallo AV, Patel VV, Sullivan JB, Cavanaugh J, Elbaga Y. Outcomes of metabolic resuscitation using ascorbic acid, thiamine, and glucocorticoids in the early treatment of sepsis: the ORANGES trial. Chest 2020;158(1):164‐73. [DOI: 10.1016/j.chest.2020.02.049] - DOI - PubMed NCT03422159. Metabolic resuscitation using ascorbic acid, thiamine, and glucocorticoids in sepsis (ORANGES) [Outcomes of metabolic resuscitation using ascorbic acid, thiamine, and glucocorticoids in the early treatment of sepsis]. https://clinicaltrials.gov/ct2/show/NCT03422159 (first received 5 February 2018).
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Jamshidi 2021	1	explicit_pmid	34484379	34484379	34484379	PMC8383994	1	1	yes	yes	direct_pubmed_link	.	.	Jamshidi M, Zeraati M, Forouzanfar B, Tahrekhani M, Motamed N. Effects of triple combination of hydrocortisone, thiamine, and vitamin C on clinical outcome in patients with septic shock: a single-center randomized controlled trial. Journal of Research in Medical Sciences 2021;26(1):47. [DOI: 10.4103/jrms.JRMS_593_19] - DOI - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Jiang 2019	1	title	Early low-dose glucocorticoid therapy effectively suppresses serum pro-inflammatory factors such as IL-6 and inhibits apoptosis of CD4+ cells in septic shock patients	"""Early low-dose glucocorticoid therapy effectively suppresses serum pro-inflammatory factors such as IL-6 and inhibits apoptosis of CD4+ cells in septic shock patients""[Title]"	.	.	0	0	no	no	.	title_search_no_match	.	Jiang X, You D, Zhao H, Yang F, Yuan Z, Lu P, et al. Early low-dose glucocorticoid therapy effectively suppresses serum pro-inflammatory factors such as IL-6 and inhibits apoptosis of CD4+ cells in septic shock patients. International Journal of Clinical and Experimental Medicine 2019;12(1):718‐23.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Keh 2003	1	explicit_pmid	12426230	12426230	12426230	.	1	0	yes	no	direct_pubmed_link	.	.	"Keh D, Boehnke T, Weber-Cartens S, Schulz C, Ahlers O, Bercker S, et al. Immunologic and hemodynamic effects of ""low-dose"" hydrocortisone in septic shock: a double-blind, randomized, placebo-controlled, crossover study. American Journal of Respiratory and Critical Care Medicine 2003;167(4):512-20. [PMID: ] - PubMed"
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Keh 2016	1	explicit_pmid	27695824	27695824	27695824	.	1	0	yes	no	direct_pubmed_link	.	.	Keh D, Trips E, Marx G, Wirtz SP, Abduljawwad E, Bercker S, et al. Effect of hydrocortisone on development of shock among patients with severe sepsis: the HYPRESS randomized clinical trial. JAMA 2016;316(17):1775-85. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Kurungundla 2008	1	title	Effect of steroids in septic shock patients without relative adrenal insufficiency	"""Effect of steroids in septic shock patients without relative adrenal insufficiency""[Title]"	.	.	0	0	no	no	.	title_search_no_match	.	Kurugundla N, Irugulapati L, Kilari D, Amchentsev A, Devakonda A, George L, et al. Effect of steroids in septic shock patients without relative adrenal insufficiency. American Thoracic Society 2008;116:NA.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Labib 2022	1	doi	10.1186/s42077-022-00259-6	"""10.1186/s42077-022-00259-6""[AID]"	.	.	0	0	no	no	.	title_search_no_match	.	Labib HA, Ali I, Hassan AI, Kamaly AM, Sherif S, Wahba SS, et al. Evaluation of the role of hydrocortisone either alone or combined with fludrocortisone in the outcome of septic shock in adults. Ain-Shams Journal of Anesthesiology 2022;14:60. [DOI: 10.1186/s42077-022-00259-6] - DOI NCT04492280. Evaluation of the role of hydrocortisone either alone or combined with fludrocortisone in the outcome of septic shock in adults. ClinicalTrials.gov 2020. [NCT: NCT04492280.]
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Labib 2022	2	nct_id	NCT04492280	NCT04492280	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	Labib HA, Ali I, Hassan AI, Kamaly AM, Sherif S, Wahba SS, et al. Evaluation of the role of hydrocortisone either alone or combined with fludrocortisone in the outcome of septic shock in adults. Ain-Shams Journal of Anesthesiology 2022;14:60. [DOI: 10.1186/s42077-022-00259-6] - DOI NCT04492280. Evaluation of the role of hydrocortisone either alone or combined with fludrocortisone in the outcome of septic shock in adults. ClinicalTrials.gov 2020. [NCT: NCT04492280.]
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Li 2016	1	doi	10.3760/cma.j.issn.2095-4352.2016.09.003	"""10.3760/cma.j.issn.2095-4352.2016.09.003""[AID]"	.	.	0	0	no	no	.	title_search_no_match	.	Li G, Gu C, Zhang S, Lian R, Zhang G. Value of glucocorticoid steroids in the treatment of patients with severe community acquired pneumonia complicated with septic shock. Zhonghua Wei Zhong Bing Ji Jiu Yi Xue 2016;28(9):780-4. [DOI: 10.3760/cma.j.issn.2095-4352.2016.09.003] - DOI
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Liu 2012	1	explicit_pmid	23158856	23158856	23158856	.	1	0	yes	no	direct_pubmed_link	.	.	Liu L, Li J, Huang YZ, Liu SQ, Yang CS, Guo FM, et al. The effect of stress dose glucocorticoid on patients with acute respiratory distress syndrome combined with critical illness-related corticosteroid insufficiency. Zhonghua Nei Ke Za Zhi 2012;51(8):599-603. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Loisa 2007	1	explicit_pmid	17306016	17306016	17306016	PMC2151907	1	1	yes	yes	direct_pubmed_link	.	.	Loisa P, Parviainen I, Tenhunen J, Hovilehto S, Ruokonen E. Effect of mode of hydrocortisone administration on glycemic control in patients with septic shock: a prospective randomized trial. Critical Care 2007;11(1):R21. [PMID: ] - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Luce 1988	1	explicit_pmid	3202402	3202402	3202402	.	1	0	yes	no	direct_pubmed_link	.	.	Luce JM, Montgomery AB, Marks JD, Turner J, Metz CA, Murray JF. Ineffectiveness of high-dose methylprednisolone in preventing parenchymal lung injury and improving mortality in patients with septic shock. American Review of Respiratory Diseases 1988;138(1):62-8. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Lv 2017	1	explicit_pmid	28615145	28615145	28615145	.	1	0	yes	no	direct_pubmed_link	.	.	Lv QQ, Gu XH, Chen QH, Yu JQ, Zheng RQ. Early initiation of low-dose hydrocortisone treatment for septic shock in adults: a randomized clinical trial. American Journal of Emergency Medicine 2017;35(12):1810-4. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Lyu 2022	1	explicit_pmid	36171582	36171582	36171582	PMC9520942	1	1	yes	yes	direct_pubmed_link	.	.	Lyu QQ, Zheng RQ, Chen QH, Yu JQ, Shao J, Gu XH. Early administration of hydrocortisone, vitamin C, and thiamine in adult patients with septic shock: a randomized controlled clinical trial. Critical Care 2022;26(1):295. [DOI: 10.1186/s13054-022-04175-x] - DOI - PMC - PubMed
