Study,Year,Data source,ID: CRS,Char: Reason for exclusion
Brentnall 2015,2015,PUB,23589065,<p>Population not eligible</p>
Brentnall 2019,2019,PUB,23589067,<p>Population not eligible</p>
Brentnall 2020,2020,PUB,23589069,<p>Population not eligible</p>
Brentnall 2020a,2020,PUB,23589071,<p>Study reported model performance in risk quantiles; participants family history unspecified.</p>
Brewer 2017,2017,PUB,23589073,<p>Study design not eligible</p>
Brinton 2014,2014,PUB,23589075,<p>Conference abstract not likely to meet eligibility criteria</p>
Burnside 2016,2016,PUB,23589077,<p>Population not eligible</p>
Buron 2013,2013,PUB,23589079,<p>Population not eligible</p>
Buyukavcu 2016,2016,PUB,23589081,<p>Study design not eligible</p>
Carrillo-Barreras 2011,2011,PUB,23589083,<p>Study design not eligible</p>
Cartwright 2011,2011,PUB,23589085,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Chaieb 2018,2018,PUB,23589087,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Challa 2013,2013,PUB,23589089,<p>Population not eligible</p>
Chang 2009,2009,PUB,23589091,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Chang 2014,2014,PUB,23589093,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Chatterjee 2006,2006,PUB,23589095,<p>Study design not eligible</p>
Chatterjee 2016,2016,PUB,23589097,<p>Study design not eligible</p>
Chay 2012,2012,PUB,23589099,<p>Population not eligible</p>
Chen 2006,2006,PUB,23589101,<p>Population not eligible</p>
Chen 2008,2008,PUB,23589105,<p>Population not eligible</p>
Chlebowski 2007,2007,PUB,23589107,<p>Population not eligible</p>
Choi 2020,2020,PUB,23589109,<p>Population not eligible</p>
Chun 2006,2006,PUB,23589111,<p>Study design not eligible</p>
Chun 2007,2007,PUB,23589113,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Chun 2009,2009,PUB,23589115,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Claus 1990,1990,PUB,23589119,<p>Study design not eligible</p>
Claus 1991,1991,PUB,23589121,<p>Population not eligible</p>
Claus 1994,1994,PUB,23589123,<p>Study design not eligible</p>
Claus 1998,1998,PUB,23589125,<p>Study design not eligible</p>
Claus 2000,2000,PUB,23589127,<p>Study design not eligible</p>
Clavelle 2015,2015,PUB,23589129,<p>Study design not eligible</p>
Clementino 2013,2013,PUB,23589131,<p>Study design not eligible</p>
Colditz 2004,2004,PUB,23589133,<p>Population not eligible</p>
Colditz 2011,2011,PUB,23589135,<p>Conference abstracts that was not likely to meet eligibility criteria</p>
Colditz 2012,2012,PUB,23589137,<p>Study design not eligible</p>
Collins 2016,2016,PUB,23589139,<p>Study design not eligible</p>
Collister 2024,2024,PUB,28616427,<p>Population not eligible</p>
Colombet 2002,2002,PUB,23589141,<p>Study design not eligible</p>
Costantino 1999,1999,PUB,23589143,<p>Population not eligible</p>
Crispo 2008,2008,PUB,23589145,<p>Population not eligible</p>
Crooke 2011,2011,PUB,23589147,<p>Population not eligible</p>
Cummings 2009,2009,PUB,23589149,<p>Population not eligible</p>
Czene 2021,2021,PUB,23589151,<p>Conference abstracts that was not likely meet eligibility criteria</p>
Dai 2012,2012,PUB,23589153,<p>Population not eligible</p>
Dalessandri 2009,2009,PUB,23589155,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Dalton 2018,2018,PUB,23589157,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Danladi 2020,2020,PUB,23589159,<p>Population not eligible</p>
Danladi 2022,2022,PUB,28616429,<p>Population not eligible</p>
Darabi 2012,2012,PUB,23589161,<p>Population not eligible</p>
Dartois 2015,2015,PUB,23589163,<p>Population not eligible</p>
Decarli 2006,2006,PUB,23589165,<p>Population not eligible</p>
de Cássia Lopes 2014,2014,PUB,23589167,<p>Study design not eligible</p>
Degnim 2018,2018,PUB,23589169,<p>Population not eligible</p>
de Hoog 2014,2014,PUB,23589171,<p>Study design not eligible</p>
De Pauw 2009,2009,PUB,23589173,<p>Study design not eligible</p>
De Silva 2018,2018,PUB,23589177,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Diao 2019,2019,PUB,23589179,<p>No full text available</p>
Dierssen-Sotos 2018,2018,PUB,23589181,<p>Population not eligible</p>
Dite 2013,2013,PUB,23589183,<p>Population not eligible</p>
Dite 2015,2015,PUB,23589185,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Dite 2016,2016,PUB,23589187,<p>Population not eligible</p>
Domchek 2003,2003,PUB,23589189,<p>Study design not eligible</p>
Duckworth 2013,2013,PUB,23589193,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Engel 2015,2015,PUB,23589195,<p>Study design not eligible</p>
Erbil 2015,2015,PUB,23589197,<p>Study design not eligible</p>
Eriksson 2017,2017,PUB,23589201,<p>Population not eligible</p>
Eriksson 2019,2019,PUB,23589203,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Eriksson 2020,2020,PUB,23589205,<p>Population not eligible</p>
Eriksson 2021,2021,PUB,23589175,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Etzel 2012,2012,PUB,23589207,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Euhus 2002,2002,PUB,23589211,<p>Study design not eligible</p>
Evans 2009,2009,PUB,23589215,<p>Conference abstracts that was not likely to meet eligibility criteria</p>
Evans 2012,2012,PUB,23589217,<p>Conference abstracts that was not likely to meet eligibility criteria</p>
Evans 2014a,2014,PUB,23589219,<p>Conference abstracts that was not likely to meet eligibility criteria</p>
Evans 2014b,2014,PUB,23589221,<p>Study design not eligible</p>
Evans 2016a,2016,PUB,23589223,<p>Conference abstracts that was not likely to meet eligibility criteria</p>
Evans 2017,2017,PUB,23589225,<p>Study design not eligible</p>
Evans 2018,2018,PUB,23589227,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Evans 2019,2019,PUB,23589229,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Evans 2019a,2019,PUB,23589231,"<p>This study reported model performance in risk quantiles, participants family history unspecified</p>"
Fabian 1997,1997,PUB,23589233,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Fabian 2000,2000,PUB,23589235,<p>Study design not eligible</p>
Farina 2017,2017,PUB,23589237,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Fasching 2007,2007,PUB,23589239,<p>Study design not eligible</p>
Feld 2018,2018,PUB,23589241,<p>Population not eligible</p>
Ferris 2020,2020,PUB,23589243,<p>Conference abstracts that was not likely to meet eligibility criteria</p>
Fischer 2013,2013,PUB,23589247,<p>Study focussed on model prediction of mutations not breast cancer</p>
Fischer 2013a,2013,PUB,23589249,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Frank 2018,2018,PUB,23589251,<p>Population not eligible</p>
Freedman 2005,2005,PUB,23589253,<p>Study design not eligible</p>
Fröhlich 2017,2017,PUB,23589255,<p>Conference abstracts that was not likely to meet eligibility criteria</p>
Fu 2007,2007,PUB,23589257,<p>Study design not eligible</p>
Furundzic 1998,1998,PUB,23589261,<p>Study design not eligible</p>
Gail 2001,2001,PUB,23589265,<p>Study design not eligible</p>
Gail 2001a,2001,PUB,23589267,<p>Study design not eligible</p>
Gail 2007,2007,PUB,23589269,<p>Population not eligible</p>
Gail 2008,2008,PUB,23589271,<p>Population not eligible</p>
Gail 2009,2009,PUB,23589273,<p>Study design not eligible</p>
Gail 2011,2011,PUB,23589277,<p>Study design not eligible</p>
Gail 2012,2012,PUB,23589279,<p>Study design not eligible</p>
Gail 2015,2015,PUB,23589283,<p>Study design not eligible</p>
Gail 2018,2018,PUB,23589285,<p>Study design not eligible</p>
Gao 2012,2012,PUB,23589287,<p>Population not eligible</p>
Gao 2017,2017,PUB,23589289,<p>Conference abstracts that were likely to not meet eligibility criteria</p>
Gao 2022,2022,PUB,28616431,<p>Population not eligible</p>
Gastounioti 2022,2022,PUB,28616433,<p>Population not eligible</p>
Ghoncheh 2017,2017,PUB,23589291,<p>Population not eligible</p>
Ghosh 2010,2010,PUB,23589293,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Glynn 2017,2017,PUB,23589297,<p>Population not eligible</p>
Goldstein 2007,2007,PUB,23589299,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Gorman 2011,2011,PUB,23589301,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Himes 2016,2016,PUB,23589305,<p>Study design not eligible</p>
Hippisley-Cox 2015,2015,PUB,23589307,<p>Population not eligible</p>
Hoskins 2006,2006,PUB,23589309,<p>Study design not eligible</p>
Hou 2020,2020,PUB,23589311,<p>Population not eligible</p>
Hsieh 2017,2017,PUB,23589313,<p>Population not eligible</p>
Hu 2009,2009,PUB,23589315,<p>Study design not eligible</p>
Huang 2017,2017,PUB,23589317,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Hughes 2017,2017,PUB,23589319,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Hughes 2018,2018,PUB,23589321,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Hughes 2020,2020,PUB,23589323,<p>Study design not eligible</p>
Huo 2009,2009,PUB,23589325,<p>Study focussed on model prediction of mutations not breast cancer</p>
Husing 2017,2017,PUB,23589327,<p>Population not eligible</p>
Husing 2020,2020,PUB,23589329,<p>Population not eligible</p>
Jacobi 2009,2009,PUB,23589331,<p>Study design not eligible</p>
Jantzen 2021,2021,PUB,23589333,"<p>Study reported model performance in risk quantiles, participants family history unspecified</p>"
Jones 2005,2005,PUB,23589339,<p>Study focussed on model prediction of mutations not breast cancer</p>
Jupe 2011,2011,PUB,23589343,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Jupe 2014,2014,PUB,23589345,<p>Population not eligible</p>
Keller 2015,2015,PUB,23589347,<p>Population not eligible</p>
Kerlikowske 2009,2009,PUB,23589349,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Kerlikowske 2017,2017,PUB,23589351,<p>Population not eligible</p>
Kumar 2020,2020,PUB,23589355,<p>Population not eligible</p>
Kurian 2020,2020,PUB,23589357,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Kurian 2021,2021,PUB,23589359,<p>Population not eligible</p>
Lacaze 2021,2021,PUB,23589361,<p>Population not eligible</p>
Laino 2003,2003,PUB,23589363,<p>No abstract or full text available</p>
Lakeman 2020,2020,PUB,23589365,<p>Population not eligible</p>
Laws 2021,2021,PUB,23589367,<p>Study design not eligible</p>
Lee 2004,2004,PUB,23589369,<p>Population not eligible</p>
Lee 2008,2008,PUB,23589371,<p>Population not eligible</p>
Lee 2014a,2014,PUB,23589373,<p>Population not eligible</p>
Lee 2015,2015,PUB,23589375,<p>Population not eligible</p>
Lehman 2022,2022,PUB,28616435,<p>Population not eligible</p>
Li 2018,2018,PUB,23589377,<p>No full text available</p>
Li 2018a,2018,PUB,23589381,<p>Population not eligible</p>
Li 2019,2019,PUB,23589383,<p>Population not eligible</p>
Li 2021,2021,PUB,23589385,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Littlejohn 2018,2018,PUB,23589387,<p>Study design not eligible</p>
Lo 2018,2018,PUB,23589389,<p>Population not eligible</p>
Macaulay 2021,2021,PUB,23589393,<p>Population not eligible</p>
MacKarem 2001,2001,PUB,23589397,<p>Population not eligible</p>
Mahmoud 2023,2023,PUB,28616437,<p>Population not eligible</p>
Mailliez 2016,2016,PUB,23589399,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Mars 2020,2020,PUB,23589401,<p>Study design not eligible</p>
Matsuno 2011,2011,PUB,23589403,<p>Population not eligible</p>
Mavaddat 2013,2013,PUB,23589405,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Mavaddat 2015,2015,PUB,23589407,<p>Study design not eligible</p>
Mavaddat 2019,2019,PUB,23589409,<p>Population not eligible</p>
McCarthy 2015,2015,PUB,23589415,<p>Population not eligible</p>
McCarthy 2024,2024,PUB,28616439,<p>Population not eligible</p>
McGuigan 1996,1996,PUB,23589417,<p>Study design not eligible</p>
McKian 2009,2009,PUB,23589419,<p>Population not eligible</p>
McTiernan 2001,2001,PUB,23589421,<p>Study design not eligible</p>
Mealiffe 2010,2010,PUB,23589425,<p>Population not eligible</p>
Medina-Franco 2014,2014,PUB,23589427,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Michel 2023,2023,PUB,28616441,<p>Population not eligible</p>
Miller 2020,2020,PUB,23589429,<p>Study design not eligible</p>
Min 2014,2014,PUB,23589431,<p>Population not eligible</p>
Muhonen 1997,1997,PUB,23589433,<p>Study design not eligible</p>
Mulsow 2009,2009,PUB,23589435,<p>Study design not eligible</p>
Negri 1990,1990,PUB,23589437,<p>Population not eligible</p>
Ng 2002,2002,PUB,23589441,<p>Study design not eligible</p>
Nickson 2018,2018,PUB,23589443,<p>Population not eligible</p>
Niell 2021,2021,PUB,23589445,<p>Study design not eligible</p>
Novotny 2006,2006,PUB,23589447,<p>Population not eligible</p>
Nuel 2017,2017,PUB,23589449,<p>Study design not eligible</p>
Oblak 2020,2020,PUB,23589451,<p>Study design not eligible</p>
Oblak 2023,2023,PUB,28616443,<p>Population not eligible</p>
OmranIssa 2021,2021,PUB,23589453,<p>Study design not eligible</p>
Ozanne 2013,2013,PUB,23589455,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Oze 2021,2021,PUB,23589457,<p>Population not eligible</p>
Pal Choudhury 2020,2020,PUB,23589461,"<p>Study reported model performance in risk quantiles, participants family history unspecified</p>"
Pal Choudhury 2020a,2020,PUB,23589463,<p>Population not eligible</p>
Pal Choudhury 2021,2021,PUB,23589465,"<p>Study reported model performance in risk quantiles, participants family history unspecified</p>"
Pankratz 2008,2008,PUB,23589467,<p>Population not eligible</p>
Pankratz 2012,2012,PUB,23589469,<p>Conference abstract that was not likely to not meet eligibility criteria</p>
Pankratz 2015,2015,PUB,23589471,<p>Population not eligible</p>
Papageorgiou 2015,2015,PUB,23589473,<p>Study design not eligible</p>
Park 2003,2003,PUB,23589475,<p>Appears to be ineligible population. Attempts to contact authors unsuccessful- article in Chinese.</p>
Park 2009,2009,PUB,23589477,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Park 2010,2010,PUB,23589479,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Park 2013,2013,PUB,23589481,<p>Population not eligible</p>
Pasini 2002,2002,PUB,23589483,<p>No full text available</p>
Pastor-Barriuso 2013,2013,PUB,23589485,<p>Population not eligible</p>
Pastor-Climente 2005,2005,PUB,23589487,<p>Population not eligible</p>
Pederson 2018,2018,PUB,23589489,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Petitjean 2024,2024,PUB,28616445,<p>Population not eligible</p>
Petousis 2018,2018,PUB,23589493,<p>Study design not eligible</p>
Petracci 2011,2011,PUB,23589495,<p>Population not eligible</p>
Pfeiffer 2013,2013,PUB,23589497,<p>Population not eligible</p>
Pfeiffer 2017,2017,PUB,23589499,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Phillips 2019,2019,PUB,23588887,<p>Validation of model switching algorithm rather than model&nbsp;</p>
Potter 1995,1995,PUB,23589501,<p>Study design not eligible</p>
Powell 2014,2014,PUB,23589503,<p>Population not eligible</p>
Prosperi 2014,2014,PUB,23589505,<p>Model specifically for BRCA mutation carriers</p>
Pu 2014,2014,PUB,23589507,<p>Study design not eligible</p>
Quante 2015a,2015,PUB,23589511,<p>Study design not eligible</p>
Ragusa 2017,2017,PUB,23589513,<p>Population not eligible</p>
Rajapakshe 2012,2012,PUB,23589515,<p>Population not eligible</p>
Rice 2017,2017,PUB,23589521,<p>Population not eligible</p>
Rockhill 2003,2003,PUB,23589523,<p>Population not eligible</p>
Rodrigues 2012,2012,PUB,23589525,<p>Study design not eligible</p>
Rosner 1996,1996,PUB,23589527,<p>Population not eligible</p>
Rosner 2008,2008,PUB,23589529,<p>Population not eligible</p>
Rosner 2013,2013,PUB,23589531,<p>Population not eligible</p>
Rosner 2017,2017,PUB,23589533,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Ross 2004,2004,PUB,23589535,<p>No abstract or full text available</p>
Rostami 2020,2020,PUB,23589537,<p>Population not eligible</p>
Rowan 2009,2009,PUB,23589539,<p>Study design not eligible</p>
Rubinstein 2002,2002,PUB,23589541,<p>Study design not eligible</p>
Sabatino 2003,2003,PUB,23589543,<p>No abstract or full text available</p>
Sahlner 2013,2013,PUB,23588983,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Sakharkar 2015,2015,PUB,23589545,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Saleh 2021,2021,PUB,23589547,<p>Study design not eligible</p>
Salih 2017,2017,PUB,23589549,<p>Population not eligible</p>
Sa-Nguanraksa 2019,2019,PUB,23589551,<p>Population not eligible</p>
Santen 2007,2007,PUB,23589553,<p>Study design not eligible</p>
Schmidt 1998,1998,PUB,23589555,<p>Study design not eligible</p>
Schonberg 2015,2015,PUB,23589557,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Schonberg 2016,2016,PUB,23589559,<p>Population not eligible</p>
Schonberg 2016b,2016,PUB,23589563,<p>Population not eligible</p>
Schonberg 2023,2023,PUB,28616447,<p>Population not eligible</p>
Schonfeld 2010,2010,PUB,23589565,<p>Population not eligible</p>
Seyednoori 2012,2012,PUB,23589567,<p>Study design not eligible</p>
Sherman 2014,2014,PUB,23589569,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Sherman 2016,2016,PUB,23589571,<p>Study design not eligible</p>
Shieh 2016,2016,PUB,23589573,<p>Population not eligible</p>
Shieh 2016a,2016,PUB,23589575,<p>Population not eligible</p>
Shieh 2018,2018,PUB,23589577,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Shieh 2018a,2018,PUB,23589579,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Solikhah 2020,2020,PUB,23589581,<p>Study design not eligible</p>
Spiegelman 1994a,1994,PUB,23589585,<p>Population not eligible</p>
Stark 2019,2019,PUB,23589587,<p>Population not eligible</p>
Starlard-Davenport 2018,2018,PUB,23589589,<p>Population not eligible</p>
Stegeman 2012,2012,PUB,23589591,<p>Study design not eligible</p>
Stevanato 2019,2019,PUB,23589593,<p>Population not eligible</p>
Stojadinovic 2010,2010,PUB,23589595,<p>Population not eligible</p>
Subramanian 2015,2015,PUB,23589597,<p>Study design not eligible</p>
Tamimi 2010,2010,PUB,23589599,<p>Population not eligible</p>
Tarabishy 2011,2011,PUB,23589601,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Tatari 2012,2012,PUB,23589603,<p>Study design not eligible</p>
Tice 2004,2004,PUB,23589609,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Tice 2005,2005,PUB,23589611,<p>Population not eligible</p>
Tice 2005a,2005,PUB,23589613,<p>Population not eligible</p>
Tice 2008,2008,PUB,23589615,<p>Population not eligible</p>
Tice 2015,2015,PUB,23589617,<p>Population not eligible</p>
Tshiaba 2023,2023,PUB,28616449,<p>Population not eligible</p>
Tworoger 2014,2014,PUB,23589619,<p>Population not eligible</p>
Vacek 2011,2011,PUB,23589623,<p>Population not eligible</p>
Valero 2020,2020,PUB,23589625,<p>Population not eligible</p>
van Veen 2018,2018,PUB,23589627,<p>Conference abstracts that was not likely to meet eligibility criteria</p>
Vesna 2018,2018,PUB,23589629,<p>Population not eligible</p>
Vilmun 2020,2020,PUB,23589631,<p>Study design not eligible</p>
Wang 2014,2014,PUB,23589633,<p>Population not eligible</p>
Wang 2014a,2014,PUB,23589635,<p>Study design not eligible</p>
Wang 2016,2016,PUB,23589637,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Wang 2016a,2016,PUB,23589639,<p>Population not eligible</p>
Wang 2018a,2018,PUB,23589643,<p>Population not eligible</p>
Wang 2019,2019,PUB,23589645,<p>Population not eligible</p>
Weik 2005,2005,PUB,23589647,<p>Study design not eligible</p>
Wolfson 2024,2024,PUB,28616451,<p>Population not eligible</p>
Wu 2014,2014,PUB,23589649,<p>Study design not eligible</p>
Wu 2015,2015,PUB,23589651,<p>Population not eligible</p>
Wu 2024,2024,PUB,28616453,<p>Study design not eligible</p>
Yala 2021,2021,PUB,23589655,<p>Population not eligible</p>
Yang 2022,2022,PUB,28616455,<p>Population not eligible</p>
Yang 2024,2024,PUB,28616457,<p>Population not eligible</p>
Yao 2011,2011,PUB,23589657,<p>No full text available</p>
Zayeri 2016,2016,PUB,23589659,<p>Population not eligible</p>
Zhang 2016,2016,PUB,23589661,<p>Conference abstract that was not likely to meet eligibility criteria</p>
Zhang 2018,2018,PUB,23589663,<p>Population not eligible</p>
Zhang 2018a,2018,PUB,23589665,<p>Population not eligible</p>
Zhao 2017,2017,PUB,23589667,<p>Population not eligible</p>
Zhao 2017a,2017,PUB,23589669,<p>Population not eligible</p>
Zirpoli 2024,2024,PUB,28616459,<p>Population not eligible</p>
